site,time,Abies,Alnus,Amaranthaceae,Ambrosia,Anacardaceae,Apiaceae,Artemisia,Asteraceae,Betula,Brassicaceae,Bursera,Campanulaceae,Caryophyllaceae,Celastra,Cupressaceae,Eriogonum,Euphorbiaceae,Fabaceae,Lamiaceae,Moraceae,Opuntia,Pinus,Poaceae,Polygonaceae,Quercus,Rhamnaceae,Rosaceae,Rubiaceae,Ulmus
tehuan22,8890,0,0.039647577,0.004405286,0,0.004405286,0,0,0.026431718,0,0.008810573,0,0,0,0.004405286,0.004405286,0,0,0.008810573,0.004405286,0,0,0.616740088,0.022026432,0.008810573,0.198237885,0.004405286,0.039647577,0.004405286,0
tehuan23,9214,0,0.027906977,0,0,0.004651163,0.009302326,0,0.004651163,0.004651163,0,0,0,0.009302326,0,0.013953488,0.004651163,0,0.023255814,0,0,0,0.502325581,0.03255814,0.004651163,0.274418605,0.013953488,0.065116279,0,0.004651163
tehuan24,9539,0,0.074418605,0.004651163,0,0.013953488,0,0,0.041860465,0.009302326,0.004651163,0,0,0.009302326,0.004651163,0.004651163,0,0.009302326,0.013953488,0,0,0,0.474418605,0.037209302,0,0.213953488,0.004651163,0.069767442,0.009302326,0
tehuan25,9863,0,0.078703704,0,0,0.009259259,0,0,0.018518519,0.00462963,0.00462963,0,0,0,0.013888889,0.009259259,0.009259259,0,0.009259259,0.00462963,0,0,0.541666667,0.041666667,0.00462963,0.189814815,0.009259259,0.037037037,0.009259259,0.00462963
tehuan26,10187,0,0.093333333,0.008888889,0,0.013333333,0.008888889,0,0.013333333,0.008888889,0,0.004444444,0,0,0,0,0.017777778,0.004444444,0.008888889,0,0,0.004444444,0.448888889,0.066666667,0.004444444,0.24,0.008888889,0.031111111,0.004444444,0.008888889
tehuan27,10836,0,0.069306931,0.004950495,0,0.014851485,0.004950495,0,0.02970297,0.00990099,0.00990099,0.004950495,0,0,0.014851485,0.00990099,0.004950495,0.024752475,0.014851485,0.004950495,0,0,0.420792079,0.079207921,0,0.227722772,0.00990099,0.024752475,0,0.014851485
tehuan28,11160,0.005076142,0.050761421,0.025380711,0,0.015228426,0,0,0.025380711,0,0,0,0,0.005076142,0.010152284,0.025380711,0.010152284,0,0.010152284,0.005076142,0,0,0.558375635,0.060913706,0,0.157360406,0.005076142,0.030456853,0,0
tehuan29,11485,0,0.045685279,0.010152284,0,0.010152284,0,0,0.010152284,0.005076142,0.005076142,0,0,0.010152284,0.005076142,0.020304569,0.005076142,0.005076142,0.030456853,0.015228426,0,0,0.497461929,0.045685279,0,0.253807107,0,0.025380711,0,0
tehuan30,11809,0.005714286,0.062857143,0.022857143,0,0.022857143,0.022857143,0,0.034285714,0.011428571,0,0,0,0.011428571,0.011428571,0.017142857,0,0.011428571,0.005714286,0.005714286,0,0,0.405714286,0.04,0.005714286,0.245714286,0.005714286,0.04,0.005714286,0.005714286
tehuan31,12149,0,0.078651685,0.005617978,0,0.016853933,0,0,0.02247191,0,0,0.005617978,0,0.005617978,0,0.005617978,0,0,0.02247191,0.016853933,0.005617978,0,0.337078652,0.061797753,0.011235955,0.320224719,0.016853933,0.056179775,0,0.011235955
tehuan32,12487,0,0.020833333,0.026041667,0,0.03125,0.010416667,0,0.010416667,0,0,0,0,0.005208333,0.005208333,0.005208333,0.005208333,0,0,0,0,0,0.510416667,0.046875,0,0.28125,0,0.041666667,0,0
