site,time,Alnus,Amaranthaceae,Ambrosia,Apiaceae,Artemisia,Asteraceae,Betula,Brassicaceae,Caryophyllaceae,Ericaceae,Fabaceae,Papaver,Pedicularis,Phlox,Picea,Pinus,Plantago,Poaceae,Polemoniaceae,Polygonaceae,Populus,Potentilla,Ranunculaceae,Rosaceae,Rumex,Salix,Sanguisorba,Sarcobatus vermiculatus,Thalictrum
zagoskin104,29281,0.003496503,0,0,0,0.132867133,0.01048951,0.006993007,0.003496503,0.024475524,0.003496503,0,0.003496503,0,0.003496503,0.006993007,0,0.01048951,0.70979021,0,0.003496503,0,0.006993007,0.024475524,0,0.003496503,0.017482517,0,0.003496503,0.020979021
zagoskin105,29422,0,0,0,0,0.153284672,0.01459854,0.00729927,0.00729927,0.02919708,0,0,0,0,0.00729927,0.003649635,0,0,0.656934307,0.003649635,0.010948905,0,0,0,0,0,0.01459854,0,0.083941606,0.00729927
zagoskin106,29559,0.003367003,0,0,0,0.141414141,0.013468013,0.003367003,0.006734007,0.037037037,0,0.003367003,0,0.003367003,0,0.013468013,0.01010101,0.003367003,0.64983165,0.003367003,0,0,0.01010101,0.033670034,0,0,0.03030303,0.003367003,0,0.03030303
zagoskin107,29694,0,0,0,0,0.194630872,0.013422819,0.006711409,0.010067114,0.030201342,0.006711409,0,0,0,0.006711409,0.010067114,0,0,0.60738255,0,0.006711409,0,0.006711409,0.010067114,0,0.006711409,0.026845638,0.003355705,0.036912752,0.016778523
zagoskin108,29831,0,0.003412969,0.006825939,0,0.184300341,0.006825939,0,0,0.017064846,0.003412969,0,0,0,0,0.010238908,0,0,0.658703072,0,0,0,0.003412969,0.034129693,0,0,0.040955631,0.006825939,0,0.023890785
zagoskin109,29965,0.033222591,0,0,0,0.159468439,0.016611296,0.009966777,0,0.043189369,0,0,0,0,0,0.006644518,0,0,0.661129568,0.006644518,0,0,0,0.019933555,0.003322259,0.003322259,0,0,0,0.03654485
zagoskin110,30100,0.010204082,0.003401361,0.010204082,0,0.159863946,0.017006803,0.006802721,0.010204082,0.020408163,0,0.003401361,0,0.003401361,0,0,0.003401361,0.006802721,0.642857143,0.003401361,0.003401361,0,0,0.054421769,0,0.010204082,0.020408163,0,0,0.010204082
zagoskin111,30235,0.003571429,0,0,0,0.139285714,0.021428571,0.010714286,0.014285714,0.035714286,0.003571429,0,0,0,0.003571429,0.010714286,0,0.003571429,0.639285714,0,0.003571429,0,0,0.007142857,0,0.017857143,0.025,0.003571429,0.042857143,0.014285714
zagoskin112,30371,0,0,0.013468013,0,0.124579125,0.026936027,0.013468013,0,0.037037037,0.003367003,0,0,0,0.013468013,0,0,0.01010101,0.663299663,0.003367003,0,0,0.006734007,0.037037037,0,0,0.023569024,0.003367003,0,0.02020202
zagoskin113,30521,0.003484321,0,0,0.003484321,0.073170732,0.017421603,0.017421603,0.006968641,0.041811847,0,0,0,0,0,0,0,0,0.68641115,0,0.003484321,0,0.003484321,0.020905923,0,0.010452962,0.045296167,0,0.031358885,0.034843206
zagoskin114,30645,0.003154574,0,0,0,0.123028391,0.018927445,0.006309148,0,0.047318612,0,0,0.003154574,0.003154574,0.003154574,0.003154574,0,0.012618297,0.61829653,0.003154574,0,0,0,0.063091483,0.022082019,0.012618297,0.022082019,0,0,0.034700315
zagoskin115,30781,0,0,0,0,0.121771218,0.007380074,0.022140221,0.014760148,0.022140221,0,0,0,0,0.003690037,0.003690037,0,0,0.638376384,0.003690037,0,0,0,0.011070111,0,0.003690037,0.033210332,0.007380074,0.084870849,0.022140221
zagoskin116,30919,0,0,0.003891051,0,0.077821012,0,0.003891051,0.003891051,0,0,0,0,0,0,0,0,0.003891051,0.789883268,0.007782101,0,0,0,0.027237354,0,0.003891051,0.035019455,0.003891051,0,0.038910506
zagoskin117,31031,0,0,0,0,0.095057034,0.041825095,0.022813688,0,0.030418251,0,0.003802281,0,0,0.003802281,0.003802281,0,0,0.703422053,0,0.015209125,0,0.011406844,0.011406844,0,0.003802281,0.034220532,0,0,0.019011407
zagoskin118,31195,0.013422819,0.003355705,0.003355705,0,0.097315436,0.026845638,0.030201342,0.006711409,0.040268456,0,0.003355705,0.013422819,0.003355705,0.003355705,0.010067114,0.003355705,0.003355705,0.580536913,0,0.006711409,0,0.013422819,0.030201342,0,0.003355705,0.073825503,0.003355705,0.006711409,0.020134228
zagoskin119,31328,0.004237288,0,0,0,0.127118644,0.012711864,0.021186441,0,0.038135593,0.004237288,0,0,0.004237288,0.004237288,0.012711864,0,0,0.656779661,0.004237288,0,0,0.004237288,0.012711864,0,0.008474576,0.012711864,0,0.042372881,0.029661017
zagoskin120,31467,0,0.006060606,0,0,0.212121212,0.039393939,0.006060606,0.009090909,0.051515152,0,0.006060606,0,0,0.003030303,0.003030303,0.003030303,0.006060606,0.5,0,0.009090909,0,0.006060606,0.072727273,0,0.012121212,0.018181818,0.003030303,0,0.033333333
zagoskin121,31608,0.00308642,0,0,0,0.101851852,0.037037037,0.012345679,0.00308642,0.058641975,0,0.00617284,0,0,0,0.00617284,0,0,0.62037037,0.00308642,0.009259259,0.00617284,0.00308642,0.033950617,0.00308642,0.024691358,0.040123457,0.00308642,0,0.024691358
zagoskin122,31745,0,0.003154574,0.006309148,0,0.123028391,0.015772871,0.025236593,0.003154574,0.031545741,0,0.006309148,0,0.003154574,0,0.009463722,0,0.003154574,0.662460568,0,0.006309148,0,0.003154574,0.031545741,0,0.003154574,0.059936909,0,0,0.003154574
zagoskin123,31855,0.007722008,0,0,0,0.115830116,0.030888031,0.007722008,0.015444015,0.023166023,0,0,0,0.003861004,0.003861004,0.003861004,0,0.003861004,0.633204633,0.007722008,0.003861004,0,0,0.023166023,0,0.023166023,0.023166023,0,0.027027027,0.042471042
zagoskin124,32019,0.003496381,0.000035,0.003496381,0,0.185308206,0.038460194,0.02797105,0.024474669,0.013985525,0.003496381,0.006992762,0,0,0,0.003496381,0.003496381,0,0.566413762,0.003496381,0.003496381,0,0,0.034963812,0,0.003496381,0.034963812,0.003496381,0.010489144,0.024474669
zagoskin125,32152,0.003448276,0,0,0,0.168965517,0.013793103,0.013793103,0.020689655,0.079310345,0.010344828,0,0,0,0.003448276,0.006896552,0,0,0.562068966,0.003448276,0.003448276,0,0,0.017241379,0,0.010344828,0.044827586,0,0,0.037931034
zagoskin126,32288,0,0,0.0078125,0,0.12890625,0.01953125,0.01171875,0.00390625,0.06640625,0,0.0078125,0,0,0,0.00390625,0,0,0.55859375,0.00390625,0,0,0,0.0703125,0,0.02734375,0.05078125,0,0.00390625,0.03515625
zagoskin127,32423,0.043478261,0.00310559,0,0.00310559,0.114906832,0.02173913,0.071428571,0.01552795,0.065217391,0.00621118,0,0.00931677,0,0,0.00310559,0,0,0.527950311,0.00931677,0,0,0,0,0.00310559,0.00931677,0.071428571,0.00310559,0,0.01863354
zagoskin128,32561,0,0,0.013215277,0,0.070481477,0.017620369,0.035240738,0,0.092506938,0.004405092,0,0.008810185,0,0,0.004405092,0.0000441,0.004405092,0.621118012,0.004405092,0.008810185,0,0,0.074886569,0,0,0.035240738,0,0,0.004405092
zagoskin129,32697,0,0,0,0,0.040609137,0.020304569,0.030456853,0.005076142,0.091370558,0,0.005076142,0,0.005076142,0,0.010152284,0,0,0.710659898,0.010152284,0,0,0.005076142,0.015228426,0,0,0.015228426,0,0.025380711,0.010152284
zagoskin130,32834,0.004149378,0,0.004149378,0,0.078838174,0.037344398,0.033195021,0.012448133,0.062240664,0.004149378,0,0.01659751,0,0,0.008298755,0,0.004149378,0.56846473,0.012448133,0,0,0.004149378,0.058091286,0,0.004149378,0.070539419,0,0,0.01659751
zagoskin131,32974,0.003389601,0.003389601,0,0,0.09490882,0.016948004,0.037285608,0.003389601,0.071181615,0.0000339,0,0,0,0.006779201,0.006779201,0,0.003389601,0.599959325,0.003389601,0.0000339,0,0,0.030506406,0,0.023727205,0.057623212,0,0.003389601,0.033896007
zagoskin132,33113,0.004385965,0,0.004385965,0,0.114035088,0.026315789,0.01754386,0.021929825,0.043859649,0,0,0.004385965,0.004385965,0,0,0.00877193,0,0.565789474,0.013157895,0.00877193,0,0,0.039473684,0,0.00877193,0.096491228,0,0,0.01754386
zagoskin133,33253,0.011583012,0.003861004,0,0,0.088803089,0.015444015,0.046332046,0.007722008,0.054054054,0.003861004,0,0,0.003861004,0.003861004,0.011583012,0,0,0.594594595,0,0.003861004,0,0.007722008,0.003861004,0,0.003861004,0.046332046,0,0.077220077,0.011583012
zagoskin134,33389,0.004015742,0.0000402,0.004015742,0,0.068267609,0.02409445,0.028110192,0.012047225,0.016062967,0,0,0.02409445,0,0,0.004015742,0,0.016062967,0.650550157,0,0.004055899,0,0.004015742,0.044173159,0,0.004015742,0.068267609,0,0,0.02409445
zagoskin135,33525,0.007936508,0,0,0,0.05952381,0.03968254,0.075396825,0.003968254,0.095238095,0.003968254,0,0,0,0,0.015873016,0,0,0.583333333,0.007936508,0.011904762,0,0,0.01984127,0,0,0.043650794,0.003968254,0,0.027777778
zagoskin136,33727,0,0,0.004310159,0,0.060342227,0.021550795,0.064652386,0.004310159,0.030171113,0.004310159,0,0,0,0,0.004310159,0,0,0.689625447,0.004310159,0,0,0,0.034481272,0,0.0000431,0.04310159,0.004310159,0.004310159,0.025860954
zagoskin137,33928,0.003448038,0,0,0,0.062064685,0.017274671,0.048272533,0,0.058616647,0.003448038,0,0.003448038,0,0,0.003448038,0.0000345,0,0.693055651,0.003448038,0,0,0,0.048272533,0,0.013792152,0.027584305,0,0,0.013792152
zagoskin138,34140,0.025748863,0,0.004291477,0,0.051497726,0.017165909,0.017165909,0.008582954,0,0.004291477,0,0.004291477,0,0,0.004291477,0,0,0.772465883,0.004291477,0.0000429,0,0,0.042914771,0,0.03004034,0,0.0000429,0,0.012874431
zagoskin139,34347,0,0,0,0,0.060606061,0.022727273,0.018939394,0,0.060606061,0.011363636,0,0,0,0,0.015151515,0,0.003787879,0.666666667,0.003787879,0.003787879,0,0,0.018939394,0,0.015151515,0.026515152,0,0.064393939,0.007575758
zagoskin140,34549,0.00456621,0,0.00456621,0,0.073059361,0.03196347,0.02739726,0,0.054794521,0.00456621,0.00913242,0,0,0,0.00913242,0.00456621,0.00913242,0.666666667,0.00456621,0.00913242,0,0,0.03196347,0,0.00913242,0.03652968,0,0,0.00913242
zagoskin141,34749,0,0,0,0,0.072243346,0.015209125,0.060836502,0,0.053231939,0.011406844,0,0,0,0,0.007604563,0.003802281,0,0.684410646,0.007604563,0.011406844,0,0.003802281,0.030418251,0,0.007604563,0.011406844,0,0,0.019011407
zagoskin142,34959,0.004385773,0.004385773,0.008771545,0,0.03508618,0.03508618,0.026314635,0,0.052629271,0.004385773,0,0,0,0.004385773,0.004385773,0,0,0.644708565,0.008771545,0.030700408,0,0,0.052629271,0,0.004385773,0.043857726,0.0000439,0.004385773,0.030700408
zagoskin143,35167,0,0,0,0,0.056869343,0.028434671,0.047391119,0.0000474,0.056869343,0,0,0,0,0,0.004739112,0,0,0.706127672,0.018956448,0.004739112,0,0,0.009478224,0,0.004739112,0.042652007,0,0.009478224,0.009478224
zagoskin144,35365,0.0000476,0.0000476,0.019044898,0,0.06189592,0.009522449,0.042851021,0,0.06189592,0,0,0,0,0,0.009522449,0,0.0000476,0.647526544,0.004761225,0.004761225,0,0,0.066657144,0,0,0.042851021,0.009522449,0.004761225,0.014283674
zagoskin145,35562,0,0,0,0,0.081447964,0.027149321,0.067873303,0.004524887,0.063348416,0.009049774,0,0,0.004524887,0,0.009049774,0,0,0.683257919,0,0,0,0,0,0,0,0.027149321,0,0,0.022624434
zagoskin146,35749,0.008810573,0,0.004405286,0,0.088105727,0.026431718,0.039647577,0.004405286,0.035242291,0.004405286,0.004405286,0,0,0,0.004405286,0,0,0.599118943,0.004405286,0,0,0,0.057268722,0,0,0.088105727,0,0,0.030837004
zagoskin147,35976,0.015228426,0,0,0,0.065989848,0.025380711,0.055837563,0,0.045685279,0.005076142,0,0,0,0,0.005076142,0,0,0.654822335,0.005076142,0.005076142,0,0.005076142,0.015228426,0,0.015228426,0.050761421,0,0.025380711,0.005076142
zagoskin148,36178,0.005434783,0,0,0,0.048913043,0.016304348,0.086956522,0,0.043478261,0.005434783,0.005434783,0.005434783,0,0.005434783,0.010869565,0,0,0.538043478,0.016304348,0.005434783,0,0,0.065217391,0,0.016304348,0.119565217,0.005434783,0,0
zagoskin149,36378,0.005025126,0,0,0,0.055276382,0.010050251,0.120603015,0.010050251,0.050251256,0.010050251,0,0,0,0,0.015075377,0.005025126,0,0.522613065,0.010050251,0,0,0,0.050251256,0,0.035175879,0.100502513,0,0,0
zagoskin150,36586,0,0,0,0,0.035087719,0.023391813,0.099415205,0.011695906,0.046783626,0,0,0,0.005847953,0,0,0,0,0.532163743,0.005847953,0.005847953,0,0,0.105263158,0,0.023391813,0.093567251,0,0,0.011695906
zagoskin151,36790,0.012658228,0,0,0,0.025316456,0.021097046,0.054852321,0.008438819,0.037974684,0,0,0,0.025316456,0,0.004219409,0,0,0.662447257,0.004219409,0,0,0.004219409,0.016877637,0,0.016877637,0.037974684,0,0.037974684,0.029535865
