site,time,Alnus,Amaranthaceae,Ambrosia,Apiaceae,Artemisia,Asteraceae,Betula,Brassicaceae,Caryophyllaceae,Ericaceae,Fabaceae,Papaver,Pedicularis,Phlox,Picea,Pinus,Plantago,Poaceae,Polemoniaceae,Polygonaceae,Populus,Potentilla,Ranunculaceae,Rosaceae,Rumex,Salix,Sanguisorba,Sarcobatus vermiculatus,Thalictrum
zagoskin23,9030,0.233962264,0,0,0.003773585,0.018867925,0.003773585,0.471698113,0,0.003773585,0.075471698,0,0,0,0,0.00754717,0,0,0.162264151,0,0,0,0,0,0.003773585,0.003773585,0.00754717,0,0.003773585,0
zagoskin24,9204,0.166051661,0,0,0.003690037,0.014760148,0.011070111,0.405904059,0,0,0.125461255,0,0,0,0,0.003690037,0,0,0.239852399,0.003690037,0,0,0,0.007380074,0.003690037,0.003690037,0.011070111,0,0,0
zagoskin25,9465,0.205574913,0,0,0.003484321,0.017421603,0.010452962,0.428571429,0,0.003484321,0.118466899,0,0,0,0,0.003484321,0,0,0.174216028,0.003484321,0,0.003484321,0,0,0.006968641,0.006968641,0.010452962,0,0.003484321,0
zagoskin26,9719,0.071428571,0,0,0,0.025,0.007142857,0.5,0,0.003571429,0.089285714,0,0,0,0,0.003571429,0,0,0.282142857,0,0,0,0,0,0,0.003571429,0.014285714,0,0,0
zagoskin27,9986,0.046692607,0,0,0.003891051,0.011673152,0.007782101,0.552529183,0,0.011673152,0.073929961,0,0,0,0,0.007782101,0,0,0.245136187,0,0,0.003891051,0,0.003891051,0,0.003891051,0.027237354,0,0,0
zagoskin28,10250,0.026022305,0,0,0.007434944,0.011152416,0.003717472,0.557620818,0,0.003717472,0.048327138,0,0,0,0,0.007434944,0,0,0.293680297,0.007434944,0,0.003717472,0,0,0,0.003717472,0.018587361,0.003717472,0.003717472,0
zagoskin29,10501,0.003773585,0,0,0.003773585,0.022641509,0.003773585,0.671698113,0,0.003773585,0.052830189,0,0,0,0,0.011320755,0,0,0.181132075,0.003773585,0.003773585,0.011320755,0,0.00754717,0.003773585,0,0.01509434,0,0,0
zagoskin30,10754,0.003773585,0,0,0.003773585,0.030188679,0,0.618867925,0,0,0.064150943,0,0,0,0,0.01509434,0,0,0.19245283,0,0,0.01509434,0,0,0,0,0.056603774,0,0,0
zagoskin31,11030,0.010033445,0,0,0,0.010033445,0.006688963,0.64548495,0,0.003344482,0.030100334,0,0,0,0,0.003344482,0,0,0.204013378,0,0,0.033444816,0.003344482,0.010033445,0,0.003344482,0.033444816,0,0,0.003344482
zagoskin32,11305,0.006849081,0,0,0,0.013698161,0.00342454,0.760247937,0,0.00342454,0.034245403,0,0,0,0,0.00342454,0,0,0.119858909,0.0000342,0,0.013698161,0,0,0.00342454,0,0.037669943,0,0,0
zagoskin33,11569,0.003236246,0,0,0.003236246,0.009708738,0.009708738,0.611650485,0,0.003236246,0.029126214,0,0,0,0,0,0,0,0.226537217,0,0,0.035598706,0.003236246,0.003236246,0,0,0.061488673,0,0,0
zagoskin34,11828,0.023972603,0,0,0.003424658,0.006849315,0.006849315,0.660958904,0,0.010273973,0.054794521,0,0,0,0,0.003424658,0,0,0.167808219,0,0,0.034246575,0,0.003424658,0,0.003424658,0.017123288,0,0,0.003424658
zagoskin35,12094,0.006369427,0,0,0.003184713,0.00955414,0.006369427,0.461783439,0,0.006369427,0.041401274,0,0,0,0.003184713,0,0,0,0.277070064,0.003184713,0.003184713,0.076433121,0.003184713,0,0.003184713,0,0.095541401,0,0,0
zagoskin36,12364,0.024615385,0,0,0,0.006153846,0.003076923,0.32,0,0.003076923,0.018461538,0,0,0,0,0,0,0,0.421538462,0,0,0.129230769,0,0.006153846,0,0.003076923,0.064615385,0,0,0
zagoskin37,12619,0.025210084,0,0,0,0.019607843,0.005602241,0.330532213,0.00280112,0.00280112,0.039215686,0,0,0,0,0,0,0,0.344537815,0,0.00280112,0.131652661,0,0,0,0,0.092436975,0,0,0.00280112
zagoskin38,12880,0.005952381,0,0.00297619,0,0.011904762,0.017857143,0.375,0,0.005952381,0.011904762,0,0,0,0,0,0,0,0.324404762,0,0,0.12202381,0,0.00297619,0,0,0.119047619,0,0,0
zagoskin39,13241,0.029411765,0,0,0.003267974,0.049019608,0.003267974,0.460784314,0,0.003267974,0.013071895,0,0,0,0,0.003267974,0.003267974,0,0.235294118,0.003267974,0,0.062091503,0,0.003267974,0,0,0.12745098,0,0,0
zagoskin40,13595,0.011070111,0,0,0.003690037,0.014760148,0.007380074,0.520295203,0.003690037,0.011070111,0.05904059,0,0,0,0,0,0,0,0.276752768,0.003690037,0,0,0.007380074,0.003690037,0,0,0.077490775,0,0,0
zagoskin41,13956,0,0,0,0,0.016528926,0.004132231,0.685950413,0,0.004132231,0.008264463,0,0,0,0,0,0,0,0.194214876,0,0,0.004132231,0.004132231,0.004132231,0,0,0.074380165,0,0,0
zagoskin42,14310,0,0,0,0.00456621,0.02283105,0.01369863,0.684931507,0,0.00456621,0.02739726,0,0,0,0,0.00456621,0,0,0.178082192,0.00456621,0,0,0,0.00913242,0,0,0.0456621,0,0,0
zagoskin43,14685,0.009049364,0,0,0,0.013574046,0.009049364,0.660603593,0.004524682,0.009049364,0.031672775,0,0,0,0,0.0000452,0,0,0.221709425,0,0,0.009049364,0,0,0,0,0.031672775,0,0,0
zagoskin44,15061,0.004608295,0,0,0,0.004608295,0.023041475,0.677419355,0,0.004608295,0.032258065,0,0,0,0,0,0,0,0.175115207,0,0,0,0,0.00921659,0.004608295,0.004608295,0.055299539,0,0,0.004608295
zagoskin45,15426,0.007905138,0,0,0,0.007905138,0.007905138,0.592885375,0.007905138,0.011857708,0.011857708,0,0,0,0,0,0,0,0.300395257,0,0,0,0.003952569,0.007905138,0,0,0.039525692,0,0,0
zagoskin46,15792,0.004424779,0,0,0,0.039823009,0.013274336,0.539823009,0,0.004424779,0.004424779,0,0,0,0,0.008849558,0,0,0.327433628,0.004424779,0,0,0,0.004424779,0,0.004424779,0.039823009,0,0,0.004424779
zagoskin47,16178,0.003861004,0,0,0,0.038610039,0.054054054,0.463320463,0.003861004,0.007722008,0,0,0,0,0,0,0,0,0.393822394,0.003861004,0,0,0,0.011583012,0,0,0.015444015,0,0,0.003861004
zagoskin48,16564,0.003508772,0,0,0.003508772,0.010526316,0.010526316,0.736842105,0,0.010526316,0,0,0,0,0,0.003508772,0,0,0.185964912,0.003508772,0,0,0.003508772,0.003508772,0,0.003508772,0.01754386,0,0,0.003508772
zagoskin49,16933,0,0,0,0,0.044897959,0.028571429,0.628571429,0,0,0.004081633,0,0,0,0,0,0,0,0.224489796,0,0,0,0,0,0,0,0.069387755,0,0,0
zagoskin50,17303,0.005319149,0,0,0,0.111702128,0.037234043,0.218085106,0.005319149,0.005319149,0,0,0,0,0,0.005319149,0,0,0.45212766,0,0,0,0,0,0,0.037234043,0.117021277,0.005319149,0,0
zagoskin51,17446,0.004950495,0,0,0,0.143564356,0.034653465,0.054455446,0,0.01980198,0,0,0,0,0,0.014851485,0,0,0.623762376,0.004950495,0.004950495,0,0.004950495,0.004950495,0,0.01980198,0.064356436,0,0,0
