site,time,Amaranthaceae,Ambrosia,Artemisia,Asteraceae,Cercocarpus,Cupressaceae,Pinus,Poaceae,Sarcobatus vermiculatus
ruby54,27910,0.092783505,0.006872852,0.388316151,0.051546392,0.006872852,0.017182131,0.405498282,0.024054983,0.006872852
ruby55,29097,0.05483871,0.006451613,0.45483871,0.041935484,0,0.009677419,0.35483871,0.067741935,0.009677419
ruby56,29392,0.092105263,0,0.438596491,0.052631579,0,0.01754386,0.337719298,0.057017544,0.004385965
ruby57,29734,0.068852459,0.006557377,0.550819672,0.049180328,0,0.013114754,0.229508197,0.078688525,0.003278689
ruby58,30958,0.076666667,0.01,0.473333333,0.046666667,0,0.013333333,0.306666667,0.066666667,0.006666667
ruby59,31602,0.081916538,0.007727975,0.482225657,0.051004637,0,0.01236476,0.306027821,0.044822257,0.013910355
ruby60,32583,0.057823129,0.003401361,0.574829932,0.044217687,0,0.003401361,0.261904762,0.054421769,0
ruby61,33075,0.018998273,0.005181347,0.542314335,0.039723661,0,0.013816926,0.354058722,0.018998273,0.006908463
ruby62,33323,0.024615385,0.006153846,0.495384615,0.024615385,0,0.012307692,0.412307692,0.012307692,0.012307692
ruby63,33920,0.032738095,0.005952381,0.494047619,0.032738095,0,0.011904762,0.401785714,0.011904762,0.008928571
ruby64,34601,0.032,0.012,0.432,0.032,0.004,0.016,0.452,0.012,0.008
