site,time,Amaranthaceae,Artemisia,Asteraceae,Caryophyllaceae,Cupressaceae,Eriogonum,Fabaceae,Picea,Pinus,Poaceae,Polygonaceae,Pseudotsuga,Rosaceae,Sarcobatus vermiculatus
natural47,37013,0.40397351,0.370860927,0.07615894,0,0,0.006622517,0.003311258,0,0.026490066,0.092715232,0.01986755,0,0,0
natural48,45661,0.397394137,0.338762215,0.104234528,0,0,0.003257329,0,0,0.061889251,0.061889251,0.03257329,0,0,0
natural49,51833,0.131410256,0.628205128,0.128205128,0,0,0,0.022435897,0,0.022435897,0.028846154,0.038461538,0,0,0
natural50,132232,0.415841584,0.442244224,0.059405941,0.00330033,0,0,0,0,0.02640264,0.03630363,0.01320132,0,0,0.00330033
natural51,133767,0.531561462,0.225913621,0.106312292,0,0,0,0,0,0.023255814,0.096345515,0.016611296,0,0,0
natural52,135303,0.54313099,0.271565495,0.067092652,0,0,0,0,0,0.028753994,0.086261981,0.003194888,0,0,0
natural53,136839,0.451827243,0.272425249,0.15282392,0,0,0,0,0,0.029900332,0.089700997,0.003322259,0,0,0
natural54,137520,0.344370861,0.40397351,0.149006623,0,0,0,0,0,0.01986755,0.052980132,0.029801325,0,0,0
natural55,138201,0.27,0.383333333,0.183333333,0,0,0.003333333,0,0.003333333,0.04,0.09,0.026666667,0,0,0
natural56,138882,0.48,0.28,0.116666667,0,0,0,0,0,0.02,0.086666667,0.016666667,0,0,0
natural57,139076,0.370860927,0.344370861,0.105960265,0,0,0,0.003311258,0,0.029801325,0.122516556,0.023178808,0,0,0
natural58,139562,0.567213115,0.255737705,0.078688525,0,0,0,0,0,0.026229508,0.062295082,0.006557377,0,0,0.003278689
natural59,140243,0.236421725,0.511182109,0.137380192,0,0,0,0,0,0.019169329,0.083067093,0.012779553,0,0,0
natural60,140924,0.291390728,0.440397351,0.099337748,0,0,0,0,0,0.026490066,0.129139073,0.013245033,0,0,0
natural61,141605,0.358803987,0.42192691,0.086378738,0,0,0,0,0,0.033222591,0.083056478,0.016611296,0,0,0
natural62,142286,0.403333333,0.34,0.143333333,0,0,0.003333333,0,0,0.03,0.07,0.01,0,0,0
natural63,142967,0.360655738,0.259016393,0.150819672,0.006557377,0,0,0,0,0.02295082,0.17704918,0.02295082,0,0,0
natural64,143648,0.416129032,0.248387097,0.151612903,0,0,0.003225806,0,0,0.016129032,0.148387097,0.016129032,0,0,0
natural65,143940,0.224832215,0.389261745,0.181208054,0,0,0,0.016778523,0,0.003355705,0.154362416,0.026845638,0,0,0.003355705
natural66,144329,0.3,0.253333333,0.166666667,0,0,0.01,0,0.003333333,0.02,0.216666667,0.03,0,0,0
natural67,145010,0.235099338,0.364238411,0.132450331,0,0,0,0,0,0.009933775,0.241721854,0.016556291,0,0,0
natural68,145691,0.462295082,0.219672131,0.150819672,0,0,0.009836066,0.003278689,0,0.026229508,0.11147541,0.016393443,0,0,0
natural69,146372,0.276666667,0.35,0.106666667,0.003333333,0,0,0,0,0.02,0.226666667,0.016666667,0,0,0
natural70,147052,0.23723229,0.355848435,0.171334432,0.006589786,0,0,0,0,0.001647446,0.204283361,0.02306425,0,0,0
natural71,147733,0.452173913,0.324637681,0.150724638,0,0,0.005797101,0,0,0.002898551,0.057971014,0.005797101,0,0,0
natural72,148414,0.410810811,0.27027027,0.086486486,0,0,0,0,0,0.005405405,0.216216216,0.005405405,0,0,0.005405405
natural73,149095,0.344827586,0.206896552,0.068965517,0,0,0,0,0,0.034482759,0.310344828,0.034482759,0,0,0
natural74,149776,0.39408867,0.295566502,0.134646962,0.009852217,0,0,0,0.003284072,0.011494253,0.121510673,0.02955665,0,0,0
natural75,150262,0.308702791,0.29228243,0.213464696,0.003284072,0,0,0,0,0.024630542,0.13136289,0.026272578,0,0,0
natural76,150457,0.402298851,0.298850575,0.137931034,0.017241379,0,0.005747126,0,0,0.011494253,0.086206897,0.040229885,0,0,0
natural77,150652,0.329787234,0.276595745,0.095744681,0.014184397,0.003546099,0,0,0.003546099,0.127659574,0.120567376,0.017730496,0,0.010638298,0
