site,time,Alnus,Artemisia,Asteraceae,Betula,Brassicaceae,Caryophyllaceae,Cupressaceae,Ericaceae,Picea,Plantago,Poaceae,Populus,Ranunculaceae,Rosaceae,Rumex,Salix,Thalictrum
joe40,12486,0,0.016286645,0.003257329,0.592833876,0,0.003257329,0.182410423,0.003257329,0.003257329,0.003257329,0.084690554,0.003257329,0,0,0,0.091205212,0.013029316
joe41,12645,0,0.04,0,0.563333333,0,0,0.22,0.003333333,0,0,0.086666667,0,0,0.013333333,0,0.07,0.003333333
joe42,12862,0,0.051124744,0.008179959,0.128834356,0,0.00408998,0.353783231,0,0.00204499,0.018404908,0.18404908,0,0.00204499,0.008179959,0,0.210633947,0.028629857
joe43,13249,0.002066116,0.065082645,0.017561983,0.022727273,0.002066116,0.006198347,0.366735537,0.001033058,0,0.019628099,0.301652893,0,0.001033058,0.011363636,0.001033058,0.166322314,0.015495868
joe44,13637,0.001901141,0.074144487,0.011406844,0,0.001901141,0.003802281,0.403041825,0,0.003802281,0.007604563,0.307984791,0,0.003802281,0,0,0.163498099,0.017110266
joe45,14024,0.117063492,0.043650794,0.007936508,0.172619048,0.005952381,0.001984127,0.285714286,0.001984127,0.027777778,0.011904762,0.188492063,0.003968254,0.003968254,0.009920635,0.005952381,0.095238095,0.015873016
joe46,14397,0,0.119001919,0.013435701,0.007677543,0.001919386,0.007677543,0.238003839,0,0.003838772,0.02303263,0.451055662,0.005758157,0.003838772,0.001919386,0,0.107485605,0.015355086
joe47,15638,0.002016129,0.068548387,0.018145161,0.058467742,0.006048387,0.032258065,0.282258065,0.004032258,0.004032258,0.016129032,0.389112903,0,0.006048387,0.008064516,0,0.092741935,0.012096774
joe48,17754,0.001988072,0.057654076,0.023856859,0.129224652,0.003976143,0.011928429,0.367793241,0.001988072,0.001988072,0,0.324055666,0,0.009940358,0.003976143,0,0.049701789,0.011928429
joe49,19870,0.003875969,0.036821705,0.013565891,0.178294574,0.005813953,0.015503876,0.337209302,0.003875969,0.003875969,0,0.30620155,0,0.023255814,0.001937984,0.007751938,0.048449612,0.013565891
joe50,21986,0.007633588,0.064885496,0.011450382,0.20610687,0.007633588,0.009541985,0.307251908,0.001908397,0.001908397,0,0.316793893,0,0.011450382,0.001908397,0,0.036259542,0.015267176
joe51,24102,0.003795066,0.026565465,0.013282732,0.174573055,0.001897533,0.013282732,0.330170778,0.001897533,0.0056926,0,0.339658444,0,0.018975332,0.003795066,0.003795066,0.049335863,0.013282732
joe52,25280,0,0.041666667,0.013888889,0.291666667,0,0.015625,0.3125,0.005208333,0.006944444,0.003472222,0.227430556,0,0.013888889,0.003472222,0.001736111,0.048611111,0.013888889
joe53,25760,0,0.012072435,0.002012072,0.251509054,0.004024145,0.012072435,0.352112676,0.002012072,0.002012072,0,0.259557344,0,0.018108652,0.002012072,0.00804829,0.068410463,0.006036217
joe54,26000,0.002053388,0.039014374,0.004106776,0.178644764,0.006160164,0.008213552,0.340862423,0.006160164,0.004106776,0,0.248459959,0,0.032854209,0.006160164,0.008213552,0.100616016,0.014373717
joe55,26522,0,0.032786885,0.005464481,0.216757741,0,0.007285974,0.35701275,0.012750455,0.001821494,0.009107468,0.234972678,0,0.029143898,0.010928962,0.001821494,0.06010929,0.02003643
joe56,27043,0.001972387,0.037475345,0.007889546,0.171597633,0.003944773,0.003944773,0.315581854,0.003944773,0.003944773,0,0.311637081,0,0.033530572,0.001972387,0.003944773,0.078895464,0.019723866
joe57,27565,0,0.054766734,0.018255578,0.188640974,0.006085193,0.00811359,0.281947262,0.002028398,0.004056795,0.006085193,0.30831643,0,0.030425963,0.002028398,0,0.058823529,0.030425963
joe58,28087,0.001694915,0.03559322,0.011864407,0.188135593,0.003389831,0.005084746,0.310169492,0,0,0,0.322033898,0,0.044067797,0.003389831,0,0.062711864,0.011864407
joe59,28609,0,0.04048583,0.010121457,0.226720648,0.008097166,0.008097166,0.299595142,0,0.002024291,0,0.285425101,0,0.028340081,0.004048583,0,0.074898785,0.012145749
joe60,29130,0.001901141,0.032319392,0.007604563,0.220532319,0.009505703,0.007604563,0.321292776,0.007604563,0,0.007604563,0.281368821,0,0.020912548,0.007604563,0.001901141,0.070342205,0.001901141
joe61,29652,0.001919386,0.044145873,0.019193858,0.272552783,0.007677543,0.007677543,0.280230326,0.009596929,0.003838772,0,0.257197697,0,0.028790787,0.001919386,0.001919386,0.047984645,0.015355086
joe62,30136,0,0.038961039,0.016697588,0.230055659,0,0.003710575,0.294990724,0.003710575,0.003710575,0.003710575,0.304267161,0,0.033395176,0.001855288,0.001855288,0.05380334,0.009276438
