site,time,Acer,Alnus,Amaranthaceae,Ambrosia,Artemisia,Asteraceae,Betula,Corylus,Cupressaceae,Fraxinus,Moraceae,Myrica,Ostrya,Picea,Pinus,Platanus,Poaceae,Populus,Pseudotsuga,Quercus,Rumex,Salix,Tsuga heterophylla,Ulmus
dark20,1510,0.022429907,0.072897196,0.003738318,0.001869159,0.014953271,0.003738318,0.242990654,0.011214953,0.005607477,0.022429907,0.009345794,0,0.061682243,0,0.201869159,0.011214953,0.009345794,0.026168224,0.011214953,0.218691589,0,0.003738318,0.013084112,0.031775701
dark21,1942,0.018348624,0.059633028,0,0.020642202,0.013761468,0.004587156,0.19266055,0.004587156,0.002293578,0.009174312,0.004587156,0,0.03440367,0.004587156,0.302752294,0.004587156,0.027522936,0.025229358,0.006880734,0.229357798,0,0,0.01146789,0.02293578
dark22,3761,0.024752475,0.051980198,0.007425743,0.004950495,0.02970297,0.007425743,0.22029703,0.007425743,0.002475248,0.027227723,0.007425743,0,0.037128713,0.004950495,0.242574257,0.004950495,0.01980198,0.027227723,0.004950495,0.225247525,0,0.002475248,0.022277228,0.017326733
dark23,5809,0.018567639,0.082228117,0.00265252,0.01061008,0.013262599,0,0.119363395,0.01061008,0.00265252,0.00265252,0.00265252,0.00265252,0.039787798,0,0.464190981,0,0.00265252,0.00265252,0.01061008,0.185676393,0,0.00265252,0.00795756,0.015915119
dark24,7629,0.019851117,0.024813896,0,0.014888337,0.017369727,0.00248139,0.198511166,0.007444169,0.007444169,0.009925558,0,0,0.037220844,0.007444169,0.377171216,0.004962779,0.007444169,0.014888337,0.00248139,0.23325062,0,0,0.009925558,0.00248139
dark25,9686,0.018518519,0.030092593,0.002314815,0.023148148,0.009259259,0.006944444,0.143518519,0.009259259,0.011574074,0.006944444,0,0,0.053240741,0.002314815,0.416666667,0.00462963,0.011574074,0.013888889,0.011574074,0.1875,0,0.002314815,0.020833333,0.013888889
dark26,11734,0.011904762,0.041666667,0.003968254,0.009920635,0.007936508,0.015873016,0.115079365,0.011904762,0.009920635,0.003968254,0,0,0.013888889,0.003968254,0.380952381,0.001984127,0.015873016,0.017857143,0.021825397,0.285714286,0.001984127,0.001984127,0.005952381,0.015873016
dark27,14279,0.016304348,0.03442029,0.003623188,0.003623188,0.003623188,0.001811594,0.14673913,0.007246377,0.007246377,0.010869565,0,0,0.030797101,0,0.391304348,0.005434783,0.010869565,0.009057971,0.005434783,0.297101449,0,0,0.003623188,0.010869565
dark28,16340,0.0215311,0.023923445,0,0.009569378,0.014354067,0.002392344,0.133971292,0.009569378,0.004784689,0.016746411,0.004784689,0,0.009569378,0,0.255980861,0.009569378,0.014354067,0.0215311,0.004784689,0.399521531,0,0.007177033,0.0215311,0.014354067
dark29,18373,0.005617978,0.037453184,0.003745318,0.029962547,0.020599251,0.009363296,0.196629213,0,0.003745318,0.009363296,0.003745318,0,0.02247191,0.001872659,0.316479401,0.001872659,0.013108614,0.005617978,0.011235955,0.277153558,0,0.001872659,0.014981273,0.013108614
dark30,20418,0.013274336,0.048672566,0.006637168,0.011061947,0.011061947,0.004424779,0.10840708,0.004424779,0.004424779,0.006637168,0,0,0.015486726,0.008849558,0.471238938,0,0.030973451,0.013274336,0.004424779,0.207964602,0.002212389,0.004424779,0.011061947,0.011061947
dark31,22720,0.007389163,0.054187192,0.017241379,0.009852217,0.014778325,0.004926108,0.130541872,0.007389163,0.007389163,0.007389163,0,0,0.002463054,0.002463054,0.371921182,0.002463054,0.017241379,0.012315271,0.019704433,0.290640394,0,0,0.012315271,0.007389163
dark32,25008,0.006944444,0.060185185,0,0.013888889,0.018518519,0.00462963,0.104166667,0.00462963,0.018518519,0.011574074,0,0,0.011574074,0.002314815,0.4375,0,0.016203704,0.016203704,0.011574074,0.247685185,0,0.002314815,0.00462963,0.006944444
dark33,27281,0.002469136,0.037037037,0.002469136,0.017283951,0.027160494,0.007407407,0.118518519,0,0.007407407,0.012345679,0,0.004938272,0.007407407,0.002469136,0.390123457,0.004938272,0.019753086,0.014814815,0.009876543,0.296296296,0,0.002469136,0.009876543,0.004938272
dark34,29585,0.00676819,0.049069374,0.001692047,0.018612521,0.010152284,0,0.157360406,0.00676819,0.005076142,0.003384095,0.001692047,0,0.018612521,0.001692047,0.335025381,0.00676819,0.015228426,0.021996616,0.013536379,0.294416244,0,0.008460237,0.010152284,0.013536379
dark35,31838,0.007604563,0.041825095,0.001901141,0.005703422,0.015209125,0.003802281,0.125475285,0.003802281,0.011406844,0.005703422,0,0.003802281,0.013307985,0.001901141,0.401140684,0.001901141,0.015209125,0.013307985,0.005703422,0.30418251,0,0,0.005703422,0.011406844
dark36,34100,0.011441648,0.041189931,0.00228833,0.029748284,0.006864989,0.009153318,0.091533181,0.009153318,0,0.009153318,0,0,0.009153318,0,0.494279176,0.004576659,0.020594966,0.020594966,0.004576659,0.210526316,0,0.006864989,0.004576659,0.013729977
dark37,36274,0.011961722,0.040669856,0.004784689,0.011961722,0.016746411,0.002392344,0.138755981,0,0.011961722,0.004784689,0.002392344,0,0.004784689,0.002392344,0.38277512,0,0.019138756,0.007177033,0.007177033,0.313397129,0,0.002392344,0,0.014354067
dark38,38573,0.002314815,0.06712963,0.002314815,0.030092593,0.013888889,0.006944444,0.12037037,0.002314815,0.018518519,0,0,0,0.030092593,0,0.467592593,0.002314815,0.018518519,0.027777778,0.011574074,0.159722222,0,0.00462963,0.002314815,0.011574074
dark39,40835,0.007653061,0.094387755,0.00255102,0.007653061,0.00255102,0.012755102,0.130102041,0.005102041,0.025510204,0.005102041,0,0,0.015306122,0.00255102,0.390306122,0.00255102,0.033163265,0.010204082,0.007653061,0.234693878,0,0.00255102,0,0.007653061
