"","YrBP","Abies","Alnus","Amaranthaceae","Apiaceae","Artemisia","Asteraceae","Brassicaceae","Camassia","Caprifoliaceae","Caryophyllaceae","Cupressaceae","Ericaceae","Fabaceae","Gentianaceae","Lysichiton","Malvaceae","Myrica","Onagraceae","Picea","Pinus","Poaceae","Polemoniaceae","Polygonaceae","Ranunculaceae","Rosaceae","Rubiaceae","Salix","Sanguisorba","Tsuga.heterophylla","Tsuga.mertensiana"
"kala16",15000,0.014279318481293,0.00309667359417436,0,0.0775235923397949,0.0100780381578651,0.221608584523157,0.005328336282408,0,0.000111467387515024,0,0.00636243817116334,0.00827809316546045,0,0.000971394592384216,0,0,0,0,0.00737364088461243,0.114681962390993,0.405057855681994,0,0.0181920803715316,0.0156892430773086,0.00263641596176764,0,1.33270275682173e-05,0.0232239982300335,0.0275303079444032,0.0379632321508836
"kala17",16000,0.0133868025227946,0.00341380027652284,0,0.074242256745792,0.0206784130042354,0.207124021839849,0.00608596633832721,0,0.00199201442949175,0,0.00572600579536981,0.00721137340407917,0,0.00235840480618455,0,0,0,0,0.00900321231617687,0.110140317849951,0.408489148018162,0.000756548988582159,0.0178130839875404,0.0152253111508443,0.00265275711871539,0,0.00184485849684741,0.0215530219455425,0.0292410525984155,0.0410616287572235
"kala18",17000,0.0159537122174985,0.00361433489069053,0,0.0679689702194593,0.0246993584006707,0.186526048946578,0.00667342211589621,0,0.00260830689341166,0,0.00469557366109902,0.00743548068730992,0,0.00346757094251208,0,0,0,0,0.0145745748276243,0.10354726252385,0.417890076254082,0.00181912897929539,0.0188781683747639,0.0141396003176121,0.00227276405667158,0.000413948616416429,0.00308250991907033,0.0186465389898918,0.0403029395848513,0.0407897090019528
"kala19",18000,0.0189227627541996,0.00355941972866396,0,0.061909109844783,0.0284137967780936,0.168496327589742,0.00744730019605087,0,0.00361175449466369,0,0.00376270684518159,0.00812081092229186,0,0.00391214635439885,0,0,0,0,0.0170452464444946,0.0977058698037603,0.415767651192946,0.00270880482835191,0.0196138127471614,0.0123079816601442,0.00222279809134915,0.0013701584393287,0.00474343601343648,0.0168986939964599,0.0455967028109715,0.0558627088701927
"kala20",19000,0.0233454311621963,0.00325755732184764,0,0.0584250904631403,0.0346287336920894,0.151289070632034,0.00757308255747469,0,0.00559181548077339,0,0.00288234286445082,0.0087219261661165,0,0.00405993895291258,0,0,0,0,0.0179716006504112,0.0915384048822928,0.39549575448858,0.00320218117699949,0.0194284051623939,0.0115112497280166,0.00250528943628801,0.00252102022583047,0.00629131147197584,0.0142555053194811,0.0473873410580578,0.0881169474785208
"kala21",20000,0.0274292774541781,0.00295572130109448,0,0.0540337132417914,0.0393784895781685,0.139290106175993,0.00743789106245665,0,0.00788682073043215,0,0.00230493465099103,0.0100951128006331,0,0.00393084984528232,0,0,0,0,0.0175455201466149,0.0860036043798156,0.373734575789568,0.00365396953067432,0.0197437729972961,0.0114448493207358,0.00303441657253447,0.00335795354623632,0.00764241646107885,0.0111592004707393,0.0464276508034104,0.121509153475039
"kala22",21000,0.0310468618927835,0.00259492987272782,0,0.0509168426760033,0.0412927273935373,0.130326285066972,0.00734467764394195,0,0.00939569700003278,0,0.00183412471036894,0.011430606300119,0,0.00356483620903526,0,0,1.83257037459094e-05,0,0.0173002310560802,0.0816312576016271,0.354604561023154,0.00386531340219995,0.0203865627033274,0.011144481342338,0.00333590858255976,0.00421817192411874,0.0084478534767198,0.0092116692757421,0.0467344601093217,0.149353615332707
"kala23",22000,0.0336942845435454,0.00215488960600619,0,0.0493781699953716,0.0441514122646036,0.125868581156214,0.00725555285093486,0,0.0113174868854011,0,0.00159940537731629,0.0127800335851963,0,0.00294781099800175,0,0,0.000153323171549025,0,0.0146954793649095,0.0786759357602649,0.330218646776032,0.00387432091875613,0.0205062360033741,0.0110880111224941,0.00384837930413695,0.00500813733213629,0.00935188710431436,0.00799304988105407,0.0419385784870674,0.181500387755796
"kala24",23000,0.0357751647297749,0.0017207861114919,3.64310674497268e-05,0.0489320543402694,0.0476518030795252,0.124401477278316,0.0069767144981328,0,0.0134927886473578,0,0.00156879573385868,0.0140273216369872,0,0.00238397435068456,0,0,0.000409052246007261,0,0.0120544810114659,0.0760230298677669,0.301910631466999,0.00381366104332602,0.0206245046028299,0.0118786218594581,0.00437103355639891,0.00552944113907247,0.00992002913393302,0.00655446032492783,0.0370003077982679,0.212943434667512
"kala25",24000,0.036185049680187,0.00137362643768662,0.00015182101232716,0.047064270213505,0.048930483764301,0.12405413532639,0.00710164217826227,0,0.0150784109596548,0,0.00149442780235634,0.0159456570297198,0,0.00199706186609449,0,0,0.000782338384750005,0,0.009530858257322,0.0745194506389128,0.288168488526519,0.00411003574256152,0.021947840671039,0.0123135811072596,0.00467255124920239,0.00584581953101393,0.010290841536838,0.00560751278099475,0.0328655287333112,0.229968566733541
"kala26",25000,0.0351559971523175,0.00105352270906736,0.000344299842491434,0.0455602120626454,0.0483996329047736,0.123592679059234,0.00768076174571322,0,0.0157777243586664,0,0.00136733008901542,0.0175367155703531,0,0.00166250248661687,0,0,0.00152071942112465,0,0.00730392554595681,0.0746771208165543,0.288063050331552,0.00462338508014836,0.0237113014881907,0.012072522368667,0.00448456651212846,0.00641020105266305,0.0105672933989222,0.00552606961061992,0.0292686546127147,0.233639811964183
"kala27",26000,0.0323176887487189,0.000751771561992055,0.0006609049440356,0.0430715883850758,0.0473876983424417,0.125599552793716,0.0083287062503212,0,0.0158533219812943,0,0.00128239110754281,0.0187282133715438,0,0.00147424075226806,0,0,0.00265844258627004,0,0.00458613345268697,0.0778352047144531,0.295364467314605,0.00555764417356889,0.0269690206752401,0.0118588708703697,0.00414114333959645,0.00656458429775975,0.0106303382723643,0.00551478065453095,0.0278247292419676,0.225038562387483
"kala28",27000,0.0293646799736279,0.000614286514253531,0.00114389598927301,0.0375230432142319,0.0416501275475019,0.125158593827438,0.008734261849796,0,0.0135512772234527,0,0.000971311156746279,0.0185151456294213,0,0.00178742397910923,0.000162623063543311,0,0.0037070736696573,0,0.00667397540995029,0.0850711115520468,0.319946883736121,0.00683464797301881,0.0318787952171658,0.0111983742439505,0.00301318006672604,0.00636263394692172,0.00948773332571923,0.00521274138924289,0.0460456454148095,0.185390534378496
"kala29",28000,0.0288812888802725,0.000876636814188519,0.00147410341643842,0.0287014360758171,0.0291904770572955,0.116859073804535,0.0085286620709029,0,0.00803969877209612,0,0.000286775893522598,0.0166325933067854,0,0.00226086090210462,0.000844541407459452,0,0.00400594907168886,0,0.015787870946023,0.0966774504304348,0.361231707773827,0.00763505587461992,0.0363595161039449,0.00925786256067354,0.00124067264881987,0.00578051085791634,0.00723485949989282,0.0053222482308016,0.0920345282162733,0.114855619751629
"kala30",29000,0.0345303130601343,0.00150012405911995,0.00121573883440361,0.0230652203922024,0.0181275760655579,0.109372718245887,0.00680116964191815,0,0.00300081932832964,0,0,0.0124031213641108,0,0.00193035765557128,0.00233814084825307,0,0.00346900006694044,0,0.0295560742107278,0.105946427342572,0.360923660320403,0.00638887296885711,0.0365090801823417,0.00892213983821569,0,0.00421891941613017,0.00491598677256775,0.0050498973309801,0.153056782920437,0.0667578594621614
"kala31",30000,0.0456165288368534,0.00227563252733399,0.000806672620783229,0.019970515176931,0.0127594923321529,0.103133200883977,0.00467156062966967,0,0.00117579998390452,0,0,0.00988469729255165,0,0.00133504952317407,0.00399972440247657,0,0.00213093258199453,0.000290197266473829,0.0433507347376563,0.112739419368101,0.310527788468305,0.0042280829475238,0.0337546947760946,0.0104209305606059,0,0.00258840731229266,0.00322885983768088,0.00419858988300767,0.207862275696631,0.0590502125483945
"kala32",31000,0.0569709665564581,0.00347619008450333,0.00073038509736404,0.0176370979200194,0.00822531035622919,0.0920915935860363,0.0039131528674667,0,0.000372206870650666,0,0,0.00928080322423002,0,0.000847574673210322,0.0065959078357242,0,0.00106155793451027,0.000725445815295505,0.060377266216232,0.118287616590802,0.260622044334233,0.00245067790185905,0.0283451236733144,0.0118012440252428,0,0.00159794948424667,0.0018754368712611,0.00336053944978496,0.256172981545366,0.053180927192328
"kala33",32000,0.0651649010262371,0.0049916201738583,0.000789414026071455,0.0156265228509871,0.004890388407726,0.0791259953456224,0.00446123484771328,0,3.28540546479956e-05,0,0,0.00985933008912276,0,0.000562678407301863,0.00987356468247699,0,0.000463855342752812,0.00112817921794252,0.0768722958992995,0.123883219069698,0.220732258404233,0.00133030768028338,0.0252539082839694,0.0128959091037358,0,0.000752318554532019,0.00105698352642601,0.00255555214075537,0.288920400407719,0.0487763085339413
"kala34",33000,0.070519304765634,0.006400682255127,0.000957883418756285,0.013949481482285,0.0024350711389107,0.0695974486315957,0.0060645172666299,0,0.000120926328465306,0,0,0.0105098722503455,0,0.000585457941148993,0.0131497503645311,0,0.000199132613397346,0.00153040143207578,0.089722122397872,0.129617134390353,0.196674261255263,0.00121210770303306,0.0246082408666234,0.0131317057359977,0,0.000322622227073669,0.000625050370253349,0.00189663920454796,0.299980455788783,0.0461897302434295
