"","YrBP","Amaranthaceae","Artemisia","Asteraceae","Caryophyllaceae","Cupressaceae","Eriogonum","Fabaceae","Picea","Pinus","Poaceae","Polygonaceae","Pseudotsuga","Rosaceae","Sarcobatus.vermiculatus"
"natu131",130000,0.45150332095926,0.375576982435641,0.0738612098785304,0.0022832575456136,0,0,0,0,0.0254328733271682,0.0548069152299425,0.0142521823864034,0,0,0.0022832575456136
"natu132",131000,0.467666487487011,0.352362272579875,0.0758436118495073,0.00185662040011944,0,0,0,0,0.02559822544043,0.061519291369364,0.0132968699110182,0,0,0.00185662040011944
"natu133",132000,0.476286474826149,0.33915268352054,0.0776362763249823,0.00159610238766609,0,0,0,0,0.0258325707933868,0.0654639618733137,0.0124358274026778,0,0,0.00159610238766609
"natu134",133000,0.481499255999922,0.317931348321878,0.0883641730025775,0.00109091592283059,0,0,0,0,0.0259297090066391,0.0721463259227525,0.0119473556075139,0,0,0.00109091592283059
"natu135",134000,0.470305543575428,0.309841041543374,0.10199732525243,0.000656248711701735,0,0.000163857085455888,0,0.000163857085455888,0.0265064541090193,0.0768988595118125,0.012810564263935,0,0,0.000656248711701735
"natu136",135000,0.454859681518869,0.310899680908033,0.111245748227736,0.000357311629802095,0,0.000290874372671711,0.000148409118742724,0.000290874372671711,0.0271014879652697,0.08068321877013,0.0136957436585177,0,0,0.000426969457799767
"natu137",136000,0.435097969478587,0.319083172411056,0.119709256226981,0.000162283239273598,0,0.000372380725084813,0.000254275010656556,0.000372380725084813,0.0271426817132309,0.082761311738176,0.0146938294360806,0,0,0.000350459442905608
"natu138",137000,0.41221353527964,0.332755770779043,0.125285850439359,2.54141184280404e-05,0,0.000420317713323155,0.000321366117631439,0.000420317713323155,0.027104373634692,0.0854674298783856,0.0156948943190056,0,0,0.000290730229089219
"natu139",138000,0.394559911310238,0.347639350328172,0.125583826127584,6.23917887725975e-06,0,0.000529846461638267,0.000374632424876741,0.000461224953637229,0.0272885827190843,0.0867547377515209,0.0164766444039731,0,0,0.000325004549260445
"natu140",139000,0.386849679788616,0.35340680482244,0.123416579653167,0.000175969513196862,0,0.000541698664908817,0.00044971543024887,0.000363779600275368,0.0268923268476126,0.0911073218715384,0.0164128911803658,0,0,0.000383232817633917
"natu141",140000,0.372166207510868,0.358858267959991,0.125211583989169,0.000329644356989194,0,0.000761305467396949,0.00077351999179051,0.000319148027397938,0.025701387998912,0.0988044482668579,0.0166166732934646,0,0,0.000457813271630276
"natu142",141000,0.35830751388832,0.357702036211151,0.127558514914749,0.000476132351176654,0,0.0011264538747217,0.00109555198317014,0.000308986267410404,0.0244448708665342,0.111453872336525,0.0170809871996361,0,0,0.000445080139762036
"natu143",142000,0.351423581323869,0.346572321349413,0.131474525699785,0.000683247176562126,0,0.00167859652384486,0.00149648685393823,0.000308993664735456,0.0230447241687335,0.125282909100838,0.0175876795319847,0,0,0.000446934606607613
"natu144",143000,0.341904515847538,0.332959137829311,0.137668241107574,0.0010541629889924,0,0.00214349611026661,0.00188830882964428,0.00030751388758905,0.0205835925122823,0.142779524614329,0.0182648770793643,0,0,0.000446629208691716
"natu145",144000,0.331548471778031,0.324613875880744,0.143339958437047,0.00114309764252101,0,0.00270226525539016,0.00225658442086435,0.000373829494429772,0.0178145110092437,0.156931456126339,0.01875764568497,0,0,0.000518304279663866
"natu146",145000,0.331931930166989,0.31352667354369,0.14220494708135,0.00130352840557367,0,0.00289721257597,0.00196659848332067,0.000371715745116302,0.0163412645139832,0.170080827919802,0.018841110786833,0,0,0.000534190789725238
"natu147",146000,0.338761950726779,0.303787744071638,0.140398345955439,0.00204418017627819,3.03480424956349e-05,0.00281138638361656,0.00159135301672282,0.000402095569362811,0.016156490486634,0.174077136627598,0.0192615403657871,0,9.10441360450532e-05,0.000586384428841945
"natu148",147000,0.342256544569286,0.300355235935371,0.137538354794961,0.00310925050879859,0.000117154586833979,0.00243783212874369,0.00109435752460664,0.000486428364712514,0.0177164268443459,0.17398714282991,0.0199151858992696,0,0.000351463793539532,0.000634622078084408
"natu149",148000,0.352112544294333,0.295390879193998,0.132660372415399,0.0039839193089036,0.000212843898156906,0.00214478377118536,0.000628716575551522,0.000596745523581891,0.0207440267980521,0.169705314930187,0.0204669995446714,0,0.000638531754492702,0.000714321685881541
"natu150",149000,0.358614788853434,0.288360797893066,0.128666222503974,0.00523902982604032,0.000326530967628373,0.00170316656280426,0.000152486677273852,0.00073821959176545,0.0254683016644297,0.166986583973872,0.0221080593270442,0,0.000979592994966858,0.000656218753816112
"natu151",150000,0.361433921765593,0.286213594166392,0.130918561266722,0.0067347442398694,0.00047047596887587,0.00148753179717442,6.91313956731356e-05,0.000949077454046137,0.0303767074662212,0.155488804317069,0.0238829173404736,0,0.00141142803930184,0.000563104255767118
