"site","Region","long","lat","MIS_1","MIS_2","MIS_3","MIS_4","MIS_5a","MIS_5b","MIS_5c","MIS_5d","MIS_5e","MIS_6"
"Baldwin",4,-116.806408,34.276446,3.40237781929411,3.39487532226182,2.76233007748513,2.73107521909982,3.0915022899778,3.13800838972218,2.93963424541917,2.93767738148165,3.16607140576949,3.63661668944438
"Bear",4,-111.333,41.98435,3.40237781929411,3.39487532226182,2.76233007748513,2.73107521909982,3.0915022899778,3.13800838972218,2.93963424541917,2.93767738148165,3.16607140576949,3.63661668944438
"Carp",4,-120.880556,45.918056,3.40237781929411,3.39487532226182,2.76233007748513,2.73107521909982,3.0915022899778,3.13800838972218,2.93963424541917,2.93767738148165,3.16607140576949,3.63661668944438
"Cuatro Cienegas",5,-102,26,2.79936147518327,2.56696540467139,3.23714611895472,2.49502144423923,3.48411427243577,3.16238780205191,3.47274470731219,,,
"Fargher",2,-122.51919,45.886765,3.85000419770822,4.63607730126116,6.24247328597546,7.30342071321378,7.09050326353299,,,,,
"Fog",1,-63.24945,67.182375,3.26221634634931,3.50958887116132,4.32342607221057,,,,,,,
"Goshen Springs",3,-86.134167,31.721111,3.23364618957834,4.55628123511999,4.46656197502593,4.06022011622486,,,,,,
"Grass",4,-122.16715,41.6496,3.40237781929411,3.39487532226182,2.76233007748513,2.73107521909982,3.0915022899778,3.13800838972218,2.93963424541917,2.93767738148165,3.16607140576949,3.63661668944438
"Grays",4,-111.43795,43.06619,3.40237781929411,3.39487532226182,2.76233007748513,2.73107521909982,3.0915022899778,3.13800838972218,2.93963424541917,2.93767738148165,3.16607140576949,3.63661668944438
"Hanging",1,-138.3833333,68.383333,3.26221634634931,3.50958887116132,4.32342607221057,,,,,,,
"Hay",4,-109.425,34,3.40237781929411,3.39487532226182,2.76233007748513,2.73107521909982,3.0915022899778,3.13800838972218,2.93963424541917,2.93767738148165,3.16607140576949,3.63661668944438
"Joe",1,-157.216667,66.766667,3.26221634634931,3.50958887116132,4.32342607221057,,,,,,,
"Kalaloch",2,-124.382994,47.634197,3.85000419770822,4.63607730126116,6.24247328597546,7.30342071321378,7.09050326353299,,,,,
"Last Canyon",4,-108.394757,45.095634,3.40237781929411,3.39487532226182,2.76233007748513,2.73107521909982,3.0915022899778,3.13800838972218,2.93963424541917,2.93767738148165,3.16607140576949,3.63661668944438
"Little",2,-123.583975,44.16658,3.85000419770822,4.63607730126116,6.24247328597546,7.30342071321378,7.09050326353299,,,,,
"Natural Trap",4,-108.1930018,44.973344,3.40237781929411,3.39487532226182,2.76233007748513,2.73107521909982,3.0915022899778,3.13800838972218,2.93963424541917,2.93767738148165,3.16607140576949,3.63661668944438
"Patzcuaro",5,-101.583333,19.583333,2.79936147518327,2.56696540467139,3.23714611895472,2.49502144423923,3.48411427243577,3.16238780205191,3.47274470731219,,,
"Peten-Itza",6,-89.84187,16.96397,7.94160903141146,4.62513054071632,3.7718302342146,3.34578378439698,4.48449334024649,5.91805425785698,6.94995370074118,,,
"Ruby Marsh",4,-115.5049,41.13395,3.40237781929411,3.39487532226182,2.76233007748513,2.73107521909982,3.0915022899778,3.13800838972218,2.93963424541917,2.93767738148165,3.16607140576949,3.63661668944438
"Star Meadows",4,-114.683705,46.51655,3.40237781929411,3.39487532226182,2.76233007748513,2.73107521909982,3.0915022899778,3.13800838972218,2.93963424541917,2.93767738148165,3.16607140576949,3.63661668944438
"Tehuantepec",5,-95.292,15.7133,2.79936147518327,2.56696540467139,3.23714611895472,2.49502144423923,3.48411427243577,3.16238780205191,3.47274470731219,,,
"Tulane",3,-81.503395,27.58613,3.23364618957834,4.55628123511999,4.46656197502593,4.06022011622486,,,,,,
"Zagoskin",1,-162.10838,63.44847,3.26221634634931,3.50958887116132,4.32342607221057,,,,,,,
