Core,Water depth,Species,Core depth (cm),Age (ka),d18Ob,d18Ob (Uvigerina scale),d13C,3Point
P21,1470,C. teretis,208.5,370.93,3.61,4.25,1.43,4.29
P39,1470,C. teretis,274,371.5,3.55,4.19,0.21,4.1
P40,700,C. teretis,351,372.48,3.24,3.88,0.88,4.12
P15,2726,C. wuellerstorfi,267.5,375.44,3.67,4.31,1.42,4.18
P21,1470,C. teretis,210.5,376.25,3.7,4.34,1.49,4.37
P39,1470,C. teretis,281,377.36,3.82,4.46,0,4.36
P40,700,C. teretis,358,377.54,3.62,4.26,1.23,4.37
P15,2726,C. wuellerstorfi,269.5,378.24,3.76,4.4,1.49,4.3
P15,2726,C. wuellerstorfi,271.5,381.05,3.59,4.23,1.46,4.38
P21,1470,C. teretis,212.5,381.57,3.88,4.52,0.4,4.33
P40,700,C. teretis,364.5,382.23,3.59,4.23,1.02,4.32
P15 ,2726,C. wuellerstorfi,273.5,383.86,3.57,4.21,1.44,4.23
P40,700,C. teretis,368,384.76,3.63,4.27,1.2,4.23
P40,700,C. teretis,370.5,386.57,3.57,4.21,1.09,4.28
P15 ,2726,C. wuellerstorfi,275.5,386.66,3.72,4.36,1.37,4.29
P30,765,C. teretis,583,386.8,3.67,4.31,0.77,4.35
P21,1470,C. teretis,214.5,386.89,3.74,4.38,0.32,4.25
P40,700,C. teretis,372.5,388.01,3.41,4.05,0.92,4.24
P30,765,C. teretis,585,389.12,3.65,4.29,1.06,4.05
P40,700,C. teretis,374.5,389.46,3.17,3.81,0.44,4.16
P15 ,2726,C. wuellerstorfi,277.5,389.47,3.76,4.4,1.4,4.12
P9,1400,C. teretis,416.75,390.2,3.51,4.15,0.45,4.3
P21,1470,C. teretis,216.5,392.21,3.71,4.35,0.47,4.21
P40,700,C. teretis,378.5,392.35,3.49,4.13,1.24,4.15
P30,765,C. teretis,589,393.74,3.34,3.98,1.16,4.06
P40,700,C. teretis,380.5,393.79,3.43,4.07,1.05,3.93
P40,700,C. teretis,384,396.32,3.09,3.73,0.67,3.91
P40,700,C. teretis,384.5,396.68,3.3,3.94,1.02,3.74
P40,700,C. teretis,386.5,398.13,2.92,3.56,0.67,3.96
P9,1400,C. wuellerstorfi,418.25,398.31,3.74,4.38,1.5,3.98
P30,765,C. teretis,593,398.37,3.38,4.02,1.03,4.22
P30,765,C. teretis,594,399.52,3.62,4.26,0.95,4.08
P40,700,C. teretis,390.5,401.02,3.33,3.97,0.82,3.92
P40,700,C. teretis,391,401.38,2.9,3.54,0.49,3.75
P40,700,C. teretis,392.5,402.46,3.09,3.73,0.45,3.88
P21,1470,C. teretis,220.5,402.84,3.72,4.36,0.5,4.07
P30,765,C. teretis,597,402.99,3.49,4.13,0.5,4.23
P40,700,C. teretis,397.5,406.07,3.55,4.19,0.96,4.2
P9,1400,C. wuellerstorfi,419.75,406.42,3.64,4.28,1.43,4.16
P39,1470,C. teretis,317,407.47,3.38,4.02,-0.04,4.19
P21,1470,C. teretis,222.5,408.16,3.62,4.26,0.61,4.02
P40,700,C. teretis,403.5,410.41,3.14,3.78,0.64,4
P40,700,C. teretis,404,410.77,3.33,3.97,1.08,3.87
P9,1400,C. teretis,420.75,411.82,3.2,3.84,0.77,4.04
P30,765,C. teretis,605,412.24,3.68,4.32,1.44,4.21
P39,1470,C. teretis,323,412.49,3.83,4.47,0.26,4.45
P21,1470,C. teretis,224.5,413.48,3.93,4.57,0.43,4.36
P40,700,C. teretis,408.5,414.02,3.4,4.04,1.23,4.27
P40,700,C. teretis,410,415.11,3.55,4.19,0.88,4.21
P30,765,C. teretis,608,415.71,3.75,4.39,1.28,4.26
P40,700,C. teretis,412.5,416.91,3.57,4.21,0.96,4.37
P21,1470,C. teretis,226.5,418.8,3.86,4.5,0.47,4.41
P39,1470,C. teretis,332,420.02,3.88,4.52,0.64,4.28
P30,765,C. teretis,613,421.49,3.17,3.81,0.6,4.24
P9,1400,C. wuellerstorfi,422.75,422.63,3.76,4.4,1.49,4.25
P21,1470,C. teretis,228.5,424.12,3.9,4.54,0.56,4.42
P30,765,C. teretis,668,485.08,3.67,4.31,0.24,4.16
P30,765,C. teretis,670,487.39,3.01,3.65,0.61,4.1
P21,1470,C. teretis,287.5,491.04,3.71,4.35,0.76,4.11
P21,1470,C. teretis,289.5,493.37,3.69,4.33,0.61,4.26
P30,765,C. teretis,677,495.49,3.45,4.09,0.79,4.26
P21,1470,C. teretis,291.5,495.7,3.72,4.36,0.77,4.25
P21,1470,C. teretis,293.5,498.03,3.67,4.31,0.8,4.34
P21,1470,C. teretis,295.5,500.36,3.71,4.35,0.82,4.28
P30,765,C. teretis,682,501.27,3.56,4.2,1.09,4.14
