depth,calyrBP ,d18Oforams-b,sst-uk37,uk37,notes
5675,543784.3,4.4,,,1020D 6H-3 97
5678,543996.6,,7.994,0.311,1020D 6H-3 100
5687,544633.7,,7.853,0.306,1020C 6H-7 75
5695,545200,4.325,,,1020D 6H-3 117
5702,545695.5,,8.082,0.314,1020D 6H-3 124
5715,546615.7,4.31,,,1020D 6H-3 137
5722,547111.2,,8.328,0.322,1020D 6H-3 144
5728,547536,,7.987,0.311,1020D 6H-4 0
5735,548031.5,4.26,,,1020D 6H-4 7
5752,549234.8,,7.492,0.294,1020D 6H-4 24
5754,549376.4,,7.113,0.281,1020C 7H-1 100
5755,549447.2,4.2,,,1020D 6H-4 27
5775,550862.9,4.105,,,1020D 6H-4 47
5776,550933.7,,8.267,0.32,1020D 6H-4 50
5779,551146.1,,9.795,0.372,1020C 7H-1 125
5795,552818.6,3.955,,,1020D 6H-4 67
5804,553897.4,,9.003,0.345,1020C 7H-2 0
5815,555216,4.045,,,1020D 6H-4 87
5829,556894.2,,10.178,0.385,1020C 7H-2 25
5854,559891,,7.409,0.291,1020C 7H-2 50
5879,562887.8,,9.607,0.366,1020C 7H-2 75
5904,565884.6,,10.546,0.398,1020C 7H-2 100
5929,568881.4,,12.333,0.458,1020C 7H-2 125
5954,571624.8,,11.776,0.439,1020C 7H-3 0
5979,574169,,12.474,0.463,1020C 7H-3 25
6004,576713.3,,8.567,0.33,1020C 7H-3 50
6029,579257.5,,8.51,0.328,1020C 7H-3 75
6054,581801.8,,9.608,0.366,1020C 7H-3 100
6079,584346,,8.467,0.327,1020C 7H-3 125
6104,586890.3,,8.235,0.319,1020C 7H-4 0
6129,589434.5,,9.966,0.378,1020C 7H-4 25
6154,591978.8,,8.691,0.334,1020C 7H-4 50
6179,594523,,8.807,0.338,1020C 7H-4 75
6204,597067.3,,11.247,0.421,1020C 7H-4 100
6229,599611.5,,8.044,0.312,1020C 7H-4 125
6254,602155.8,,7.34,0.289,1020C 7H-5 0
6279,604700,,8.569,0.33,1020C 7H-5 25
6304,607244.2,,9.245,0.353,1020C 7H-5 50
6329,609788.5,,9.623,0.366,1020C 7H-5 75
6354,612332.7,,8.627,0.332,1020C 7H-5 100
6379,614877,,11.43,0.428,1020C 7H-5 125
6404,617146.1,,11.458,0.429,1020C 7H-6 0
6429,619117.1,,11.129,0.417,1020C 7H-6 25
6454,621088.2,,8.939,0.343,1020C 7H-6 50
6479,623059.2,,8.312,0.322,1020C 7H-6 75
6504,625030.3,,8.477,0.327,1020C 7H-6 100
6529,627001.3,,9.372,0.358,1020C 7H-6 125
6549,628578.2,,9.105,0.349,1020C 7H-6 144
6564,629760.8,,8.834,0.339,1020D 7H-3 0
6577,630785.7,4.276,,,1020C 8H-1 010-015
6589,631731.8,,7.695,0.301,1020D 7H-3 25
6607,633151,4.189,,,1020C 8H-1 40-45
6614,633702.9,,7.771,0.303,1020D 7H-3 50
6637,635516.3,4.155,,,1020C 8H-1 70-75
6639,635673.9,,8.257,0.32,1020D 7H-3 75
6664,637645,,8.763,0.337,1020D 7H-3 99
6667,637881.5,4.026,,,1020C 8H-1 100-105
6689,639616,,9.068,0.347,1020D 7H-3 125
6690,639694.9,,9.148,0.35,1020C 8H-1 125
6697,640246.8,3.964,,,1020C 8H-1 130-135
6715,641665.9,,8.766,0.337,1020C 8H-2 0
6727,642612,4.036,,,1020C 8H-2 010-015
6740,643637,,9.248,0.353,1020C 8H-2 25
6757,644977.3,3.947,,,1020C 8H-2 40-45
6765,645608,,8.952,0.343,1020C 8H-2 50
6787,647342.5,3.998,,,1020C 8H-2 70-75
6790,647579.1,,9.266,0.354,1020C 8H-2 75
6815,649550.1,,7.765,0.303,1020C 8H-2 99
6817,649707.8,3.751,,,1020C 8H-2 100-105
6840,651521.2,,8.128,0.315,1020C 8H-2 125
6847,652073.1,3.917,,,1020C 8H-2 130-135
6865,653492.2,,9.617,0.366,1020C 8H-3 0
6877,654438.3,3.722,,,1020C 8H-3 010-015
6890,655463.3,,10.125,0.383,1020C 8H-3 25
6907,656803.6,3.666,,,1020C 8H-3 40-45
6915,657434.3,,7.949,0.309,1020C 8H-3 50
6937,659168.8,3.764,,,1020C 8H-3 70-75
6940,659405.3,,7.985,0.311,1020C 8H-3 75
6965,661376.4,,9.487,0.362,1020C 8H-3 100
6967,661534.1,3.716,,,1020C 8H-3 100-105
6990,663347.4,,8.031,0.312,1020C 8H-3 125
6997,663899.3,3.619,,,1020C 8H-3 130-135
7015,665318.5,,8.497,0.328,1020C 8H-4 0
7027,666264.6,3.583,,,1020C 8H-4 010-015
7040,667289.5,,10.911,0.41,1020C 8H-4 25
7057,668629.8,3.36,,,1020C 8H-4 40-45
7065,669260.6,,8.239,0.319,1020C 8H-4 50
7087,670995.1,3.342,,,1020C 8H-4 70-75
7090,671231.6,,10.953,0.411,1020C 8H-4 75
7115,673202.7,,7.881,0.307,1020C 8H-4 100
7117,673360.4,3.257,,,1020C 8H-4 100-105
7140,675173.7,,10.687,0.402,1020C 8H-4 125
7165,677144.8,,10.549,0.398,1020C 8H-5 0
7190,679115.8,,11.634,0.435,1020C 8H-5 25
7215,681086.9,,11.926,0.444,1020C 8H-5 50
7240,683057.9,,12.76,0.473,1020C 8H-5 75
7265,685029,,11.679,0.436,1020C 8H-5 100
7290,687000,,12.527,0.465,1020C 8H-5 125
7315,690676.5,,13.629,0.502,1020C 8H-6 0
7340,694352.9,,12.318,0.458,1020C 8H-6 25
7357,696852.9,3.366,,,1020C 8H-6 40-45
7365,698029.4,,10.721,0.404,1020C 8H-6 50
7387,701264.7,3.745,,,1020C 8H-6 70-75
7390,701705.9,,9.179,0.351,1020C 8H-6 75
7415,705382.4,,8.887,0.341,1020C 8H-6 100
7417,705676.5,3.842,,,1020C 8H-6 100-105
7440,709058.8,,9.153,0.35,1020C 8H-6 125
7447,710088.2,3.933,,,1020C 8H-6 130-135
7465,712735.3,,10.556,0.398,1020C 8H-7 0
7477,714500,3.864,,,1020C 8H-7 010-015
7490,716411.8,,11.3,0.423,1020C 8H-7 25
7506,718764.7,,11.708,0.437,1020D 8H-3 0
7515,720088.2,,11.887,0.443,1020C 8H-7 50
7531,722441.2,,10.944,0.411,1020D 8H-3 25
7536,723176.5,3.591,,,1020C 8H-7 69-74
7556,726117.6,,11.21,0.42,1020D 8H-3 50
7581,729794.1,,11.533,0.431,1020D 8H-3 75
7589,730970.6,3.388,,,1020C 9H-1 010-015
7605,733323.5,,11.414,0.427,1020D 8H-3 99
7619,735382.4,3.494,,,1020C 9H-1 40-45
7631,737091.3,,11.198,0.42,1020D 8H-3 125
7649,738733.8,3.551,,,1020C 9H-1 70-75
7651,738916.3,,11.017,0.414,1020D 8H-3 145
7652,739007.6,,11.392,0.426,1020C 9H-1 75
7677,741289,,11.84,0.442,1020C 9H-1 100
7679,741471.5,3.564,,,1020C 9H-1 100-105
7702,743570.3,,8.643,0.333,1020C 9H-1 125
7709,744209.1,3.922,,,1020C 9H-1 130-135
7727,745851.7,,9.739,0.37,1020C 9H-2 0
7739,746946.8,3.89,,,1020C 9H-2 010-015
7752,748133.1,,9.243,0.353,1020C 9H-2 25
7777,750414.4,,9.405,0.359,1020C 9H-2 50
7802,752695.8,,9.922,0.376,1020C 9H-2 75
7827,754977.2,,9.617,0.366,1020C 9H-2 100
7829,755159.7,3.601,,,1020C 9H-2 100-105
7852,757258.6,,9.945,0.377,1020C 9H-2 125
7859,757897.3,3.497,,,1020C 9H-2 130-135
7877,759539.9,,9.767,0.371,1020C 9H-3 0
7889,760635,3.568,,,1020C 9H-3 010-015
7902,761821.3,,10.164,0.385,1020C 9H-3 25
7927,764102.7,,11.145,0.418,1020C 9H-3 50
7949,766110.3,3.319,,,1020C 9H-3 70-75
7952,766384,,8.929,0.343,1020C 9H-3 75
7977,768665.4,,9.592,0.365,1020C 9H-3 100
8002,770946.8,,11.137,0.418,1020C 9H-3 125
8027,773228.1,,9.547,0.364,1020C 9H-4 0
8052,775509.5,,11.911,0.444,1020C 9H-4 25
8077,777790.9,,11.254,0.422,1020C 9H-4 50
8102,780072.2,,12.126,0.451,1020C 9H-4 75
8127,782353.6,,10.543,0.397,1020C 9H-4 100
8129,782536.1,2.92,,,1020C 9H-4 100-105
8152,784635,,12.001,0.447,1020C 9H-4 125
8159,785367.6,3.289,,,1020C 9H-4 130-135
8177,787573.5,,8.676,0.334,1020C 9H-5 0
8189,789044.1,3.684,,,1020C 9H-5 010-015
8202,790637.3,,6.703,0.267,1020C 9H-5 25
8227,793701,,7.081,0.28,1020C 9H-5 50
8252,796764.7,,7.497,0.294,1020C 9H-5 75
8277,799828.4,,6.58,0.263,1020C 9H-5 100
8279,800073.5,3.882,,,1020C 9H-5 100-105
8302,802892.2,,7.384,0.29,1020C 9H-5 125
8309,803750,3.677,,,1020C 9H-5 130-135
8327,805955.9,,6.973,0.276,1020C 9H-6 0
8339,807426.5,3.678,,,1020C 9H-6 010-015
8352,809019.6,,8.813,0.339,1020C 9H-6 25
8369,810738,3.47,,,1020C 9H-6 40-45
8377,811394,,8.294,0.321,1020C 9H-6 50
8399,813198,3.457,,,1020C 9H-6 70-75
