depth,calyrBP ,d18Oforams-b,sst-uk37,uk37,notes
1365,107000,4.1,,,1020C 2H-6 27
1367,107304.3,3.99,,,1020D 2H-2 42
1372,108065.2,4.135,,,1020D 2H-2 47
1375,108521.7,,9.3,0.355,1020D 2H-2 50
1377,108826.1,3.92,,,1020D 2H-2 52
1385,110043.5,4.365,,,1020C 2H-6 47
1390,110707.7,4.14,,,1020D 2H-2 62
1397,111434.6,4.34,,,1020D 2H-2 67
1402,111953.8,4.09,,,1020D 2H-2 72
1405,112265.4,4.36,,,1020C 2H-6 67
1405,112265.4,,9.1,0.349,1020D 2H-2 75
1407,112473.1,4.04,,,1020D 2H-2 77
1412,112992.3,3.905,,,1020D 2H-2 82
1417,113511.5,4.06,,,1020D 2H-2 87
1422,114030.8,4.08,,,1020D 2H-2 92
1423,114134.6,4.15,,,1020C 2H-6 85
1427,114550,3.955,,,1020D 2H-2 97
1430,114861.5,,9.9,0.375,1020D 2H-2 100
1432,115069.2,3.88,,,1020D 2H-2 102
1441,116003.8,3.705,,,1020C 2H-7 17
1455,117457.7,,11.3,0.422,1020D 2H-2 125
1457,117665.4,4.13,,,1020D 2H-2 127
1467,118703.8,3.34,,,1020D 2H-2 137
1474,119430.8,,13.2,0.487,1020D 2H-2 144
1477,119742.3,3.55,,,1020D 2H-2 147
1479,119950,3.21,,,1020C 2H-7 55
1480,120053.8,,13.6,0.503,1020D 2H-3 0
1487,120780.8,3.37,,,1020D 2H-3 7
1497,121819.2,3.095,,,1020D 2H-3 17
1505,122650,,14.1,0.518,1020D 2H-3 25
1517,123896.2,3.06,,,1020D 2H-3 37
1522,124338,3.01,,,1020D 2H-3 42
1527,124760.6,3.1,,,1020D 2H-3 47
1530,125014.1,,13.9,0.513,1020D 2H-3 50
1532,125183.1,3.12,,,1020D 2H-3 52
1537,125605.6,3.197,,,1020D 2H-3 57
1542,126028.2,3.27,,,1020D 2H-3 62
1547,126450.7,3.57,,,1020D 2H-3 67
1552,126873.2,3.555,,,1020D 2H-3 72
1555,127126.8,,11.2,0.421,1020D 2H-3 75
1557,127295.8,4.055,,,1020D 2H-3 77
1562,127718.3,3.73,,,1020D 2H-3 82
1577,128985.9,4.22,,,1020D 2H-3 97
1580,129239.4,,9.3,0.356,1020D 2H-3 100
1597,130676.1,4.765,,,1020D 2H-3 117
1605,131352.1,,8.7,0.333,1020D 2H-3 125
1624,132957.7,,9.5,0.363,1020D 2H-3 144
1637,134056.3,5.19,,,1020D 2H-4 7
1645,134732.4,4.89,,,1020C 3H-1 97
1648,134985.9,,8.6,0.331,1020C 3H-1 100
1665,136520.8,5.065,,,1020C 3H-1 117
1673,137354.2,,8.3,0.32,1020C 3H-1 125
1684,138500,4.99,,,1020C 3H-1 136
1698,139958.3,,8.3,0.32,1020C 3H-2 0
1705,140687.5,4.875,,,1020C 3H-2 7
