"site","Region","long","lat","MIS_1","MIS_2","MIS_3","MIS_4","MIS_5a","MIS_5b","MIS_5c","MIS_5d","MIS_5e","MIS_6"
"Annie",4,-81.350875,27.20731,3.42451137275984,4.65869931868906,5.49165937362233,3.84671843721156,,,,,,
"Baldwin",5,-116.806408,34.276446,3.58440231616576,3.47222347602165,2.78750632509448,2.75327541214546,3.04371558822505,3.1322764459792,2.96330688344075,2.92544989252274,3.17449433968433,3.64726314525649
"Bear",5,-111.333,41.98435,3.58440231616576,3.47222347602165,2.78750632509448,2.75327541214546,3.04371558822505,3.1322764459792,2.96330688344075,2.92544989252274,3.17449433968433,3.64726314525649
"Carp",5,-120.880556,45.918056,3.58440231616576,3.47222347602165,2.78750632509448,2.75327541214546,3.04371558822505,3.1322764459792,2.96330688344075,2.92544989252274,3.17449433968433,3.64726314525649
"Cranberry Glades",2,-80.283333,38.2,5.36366690320089,3.56686866124247,2.76758727352584,2.29721486716869,3.20696853463516,6.68554133158364,9.97516736846238,,,
"Cuatro Cienegas",6,-102,26,2.78300617417262,2.56574106227058,3.25163472131503,2.5733964642473,3.37984454378242,3.21744583395393,3.41828560958871,,,
"Dark",2,-91.475,45.275,5.36366690320089,3.56686866124247,2.76758727352584,2.29721486716869,3.20696853463516,6.68554133158364,9.97516736846238,,,
"Fargher",3,-122.51919,45.886765,2.99230475493112,4.07733096692142,5.95007249323,7.31176159864719,7.00720569432781,,,,,
"Fog",1,-63.24945,67.182375,3.83071823744729,4.00750959447437,4.32078593665692,4.68002535682571,4.89638690270417,5.06862459952344,,,,
"Goshen Springs",4,-86.134167,31.721111,3.42451137275984,4.65869931868906,5.49165937362233,3.84671843721156,,,,,,
"Grass",3,-122.16715,41.6496,2.99230475493112,4.07733096692142,5.95007249323,7.31176159864719,7.00720569432781,,,,,
"Grays",5,-111.43795,43.06619,3.58440231616576,3.47222347602165,2.78750632509448,2.75327541214546,3.04371558822505,3.1322764459792,2.96330688344075,2.92544989252274,3.17449433968433,3.64726314525649
"Hanging",1,-138.3833333,68.383333,3.83071823744729,4.00750959447437,4.32078593665692,4.68002535682571,4.89638690270417,5.06862459952344,,,,
"Hansen Marsh",2,-89.670815,43.439585,5.36366690320089,3.56686866124247,2.76758727352584,2.29721486716869,3.20696853463516,6.68554133158364,9.97516736846238,,,
"Hay",5,-109.425,34,3.58440231616576,3.47222347602165,2.78750632509448,2.75327541214546,3.04371558822505,3.1322764459792,2.96330688344075,2.92544989252274,3.17449433968433,3.64726314525649
"Joe",1,-157.216667,66.766667,3.83071823744729,4.00750959447437,4.32078593665692,4.68002535682571,4.89638690270417,5.06862459952344,,,,
"Kalaloch",3,-124.382994,47.634197,2.99230475493112,4.07733096692142,5.95007249323,7.31176159864719,7.00720569432781,,,,,
"Kilbride Swamp",2,-79.915417,43.464583,5.36366690320089,3.56686866124247,2.76758727352584,2.29721486716869,3.20696853463516,6.68554133158364,9.97516736846238,,,
"Last Canyon",5,-108.394757,45.095634,3.58440231616576,3.47222347602165,2.78750632509448,2.75327541214546,3.04371558822505,3.1322764459792,2.96330688344075,2.92544989252274,3.17449433968433,3.64726314525649
"Little",3,-123.583975,44.16658,2.99230475493112,4.07733096692142,5.95007249323,7.31176159864719,7.00720569432781,,,,,
"Natural Trap",5,-108.1930018,44.973344,3.58440231616576,3.47222347602165,2.78750632509448,2.75327541214546,3.04371558822505,3.1322764459792,2.96330688344075,2.92544989252274,3.17449433968433,3.64726314525649
"Patzcuaro",6,-101.583333,19.583333,2.78300617417262,2.56574106227058,3.25163472131503,2.5733964642473,3.37984454378242,3.21744583395393,3.41828560958871,,,
"Peten-Itza",7,-89.84187,16.96397,7.86139002091804,4.57933926348429,3.74930872029411,3.33961267906701,4.52717824130934,5.97226858665588,7.02422626508634,,,
"Ruby Marsh",5,-115.5049,41.13395,3.58440231616576,3.47222347602165,2.78750632509448,2.75327541214546,3.04371558822505,3.1322764459792,2.96330688344075,2.92544989252274,3.17449433968433,3.64726314525649
"Star Meadows",5,-114.683705,46.51655,3.58440231616576,3.47222347602165,2.78750632509448,2.75327541214546,3.04371558822505,3.1322764459792,2.96330688344075,2.92544989252274,3.17449433968433,3.64726314525649
"Tehuantepec",6,-95.292,15.7133,2.78300617417262,2.56574106227058,3.25163472131503,2.5733964642473,3.37984454378242,3.21744583395393,3.41828560958871,,,
"Titaluk",1,-155.211533,69.710983,3.83071823744729,4.00750959447437,4.32078593665692,4.68002535682571,4.89638690270417,5.06862459952344,,,,
"Tulane1",4,-81.503395,27.58613,3.42451137275984,4.65869931868906,5.49165937362233,3.84671843721156,,,,,,
"Zagoskin",1,-162.10838,63.44847,3.83071823744729,4.00750959447437,4.32078593665692,4.68002535682571,4.89638690270417,5.06862459952344,,,,
