"site","Region","long","lat","MIS_2-1","MIS_3-2","MIS_4-3","MIS_5a-4","MIS_5b-5a","MIS_5c-5b","MIS_5d-5c","MIS_5e-5d","MIS_6-5e"
"Annie",4,-81.350875,27.20731,-1.4932712908827,-1.4560137965329,1.05540275266418,NA,NA,NA,NA,NA,NA
"Baldwin",5,-116.806408,34.276446,0.820449552097684,0.179219289302856,-0.72894140826308,-0.393848654080443,-0.101575107549986,0,-0.241909993168552,0,0.86507107115907
"Bear",5,-111.333,41.98435,0.820449552097684,0.179219289302856,-0.72894140826308,-0.393848654080443,-0.101575107549986,0,-0.241909993168552,0,0.86507107115907
"Carp",5,-120.880556,45.918056,0.820449552097684,0.179219289302856,-0.72894140826308,-0.393848654080443,-0.101575107549986,0,-0.241909993168552,0,0.86507107115907
"Cranberry Glades",2,-80.283333,38.2,2.12239659270849,1.19541563722287,-0.59965248745711,-0.894852904632534,-0.83129833894394,0,NA,NA,NA
"Cuatro Cienegas",6,-102,26,0.902550141890779,0,1.64270917580376,-0.676317787559928,0,0,NA,NA,NA
"Dark",2,-91.475,45.275,2.12239659270849,1.19541563722287,-0.59965248745711,-0.894852904632534,-0.83129833894394,0,NA,NA,NA
"Fargher",3,-122.51919,45.886765,0.250227323479612,-1.78257504461168,-1.57140447066605,0,NA,NA,NA,NA,NA
"Fog",1,-63.24945,67.182375,-0.812997500388173,0,0,-0.751463790864563,-0.489359511032051,NA,NA,NA,NA
"Goshen Springs",4,-86.134167,31.721111,-1.4932712908827,-1.4560137965329,1.05540275266418,NA,NA,NA,NA,NA,NA
"Grass",3,-122.16715,41.6496,0.250227323479612,-1.78257504461168,-1.57140447066605,0,NA,NA,NA,NA,NA
"Grays",5,-111.43795,43.06619,0.820449552097684,0.179219289302856,-0.72894140826308,-0.393848654080443,-0.101575107549986,0,-0.241909993168552,0,0.86507107115907
"Hanging",1,-138.3833333,68.383333,-0.812997500388173,0,0,-0.751463790864563,-0.489359511032051,NA,NA,NA,NA
"Hansen Marsh",2,-89.670815,43.439585,2.12239659270849,1.19541563722287,-0.59965248745711,-0.894852904632534,-0.83129833894394,0,NA,NA,NA
"Hay",5,-109.425,34,0.820449552097684,0.179219289302856,-0.72894140826308,-0.393848654080443,-0.101575107549986,0,-0.241909993168552,0,0.86507107115907
"Joe",1,-157.216667,66.766667,-0.812997500388173,0,0,-0.751463790864563,-0.489359511032051,NA,NA,NA,NA
"Kalaloch",3,-124.382994,47.634197,0.250227323479612,-1.78257504461168,-1.57140447066605,0,NA,NA,NA,NA,NA
"Kilbride Swamp",2,-79.915417,43.464583,2.12239659270849,1.19541563722287,-0.59965248745711,-0.894852904632534,-0.83129833894394,0,NA,NA,NA
"Last Canyon",5,-108.394757,45.095634,0.820449552097684,0.179219289302856,-0.72894140826308,-0.393848654080443,-0.101575107549986,0,-0.241909993168552,0,0.86507107115907
"Little",3,-123.583975,44.16658,0.250227323479612,-1.78257504461168,-1.57140447066605,0,NA,NA,NA,NA,NA
"Natural Trap",5,-108.1930018,44.973344,0.820449552097684,0.179219289302856,-0.72894140826308,-0.393848654080443,-0.101575107549986,0,-0.241909993168552,0,0.86507107115907
"Patzcuaro",6,-101.583333,19.583333,0.902550141890779,0,1.64270917580376,-0.676317787559928,0,0,NA,NA,NA
"Peten-Itza",7,-89.84187,16.96397,4.03770436105164,1.69195857330736,0,-2.61190258459449,-2.01469491829056,-2.32107307509455,NA,NA,NA
"Ruby Marsh",5,-115.5049,41.13395,0.820449552097684,0.179219289302856,-0.72894140826308,-0.393848654080443,-0.101575107549986,0,-0.241909993168552,0,0.86507107115907
"Star Meadows",5,-114.683705,46.51655,0.820449552097684,0.179219289302856,-0.72894140826308,-0.393848654080443,-0.101575107549986,0,-0.241909993168552,0,0.86507107115907
"Tehuantepec",6,-95.292,15.7133,0.902550141890779,0,1.64270917580376,-0.676317787559928,0,0,NA,NA,NA
"Titaluk",1,-155.211533,69.710983,-0.812997500388173,0,0,-0.751463790864563,-0.489359511032051,NA,NA,NA,NA
"Tulane1",4,-81.503395,27.58613,-1.4932712908827,-1.4560137965329,1.05540275266418,NA,NA,NA,NA,NA,NA
"Zagoskin",1,-162.10838,63.44847,-0.812997500388173,0,0,-0.751463790864563,-0.489359511032051,NA,NA,NA,NA
