"Sample","YrBP","Abies","Amaranthaceae","Ambrosia","Apiaceae","Artemisia","Asteraceae","Betula","Cupressaceae","Fagaceae","Pinus","Poaceae","Polygonaceae","Pseudotsuga","Quercus","Ranunculaceae","Rhamnaceae","Rosaceae","Yucca","Acer","Caryophyllaceae","Ephedra","Eriogonum","Picea","Polemoniaceae","Salix","Sarcobatus.vermiculatus","Thalictrum","Alnus","Arceuthobium","Caprifoliaceae","Ceanothus","Corylus","Onagraceae","Phlox","Polygaceae","Rumex","Tsuga.heterophylla","Tsuga.mertensiana","Agave","Anacardaceae","Brassicaceae","Celtis","Ericaceae","Fabaceae","Fraxinus","Gentianaceae","Liliaceae","Opuntia","Prosopis","Ulmus","Galium","Populus","Spiraea","Stellaria","Micranthes","Carya","Castanea","Cyclachaena.xanthiifolia","Ilex","Iva","Leitneria.floridana","Liquidambar","Magnolia","Myrica","Nyssa","Ostrya","Plantago","Viburnum","Vitis","Potentilla","Rhododendron","Saxifragaceae","Cercocarpus","Lamiaceae","Malvaceae","Ribes","Camassia","Lysichiton","Rubiaceae","Sanguisorba","Sambucus","Taxus.brevifolia","Acacia","Acalypha","Alternanthera","Begonia","Bignoniaceae","Brosimum","Bursera","Buxus","Byrsonima","Caesalpinia","Casearia","Cassia","Cecropia","Connarus","Convolvulaceae","Croton","Dodonaea","Eugenia","Euphorbiaceae","Ficus","Gustavia","Hedyosmum","Hieronyma","Hymenaea","Inga","Iresine","Juglans","Lindernia","Machaerium","Malpighiaceae","Mandevilla","Melastomataceae","Meliaceae","Moraceae","Myrsine","Myrtaceae","Olacaceae","Oxalidaceae","Paullinia","Portulacaceae","Protium","Psychotria","Sapium","Schinus","Spermacoce","Spondias","Trema","Vitex","Zanthoxylum","Campanulaceae","Celastra","Arecaceae","Ceratiola.ericoides","Combretaceae","Rhus","Sabal","Serenoa","Taxodium","Papaver","Pedicularis"
"bear133",132000,0.0109293208418972,0.0915959491071456,0.0593202231742878,NA,0.457430024294336,0.0208414642560574,0.000417485709836285,0.0452001800557195,NA,0.106127646137967,0.0843957678977026,0.000106952675583187,0.000502623460702468,0.0494498899112538,NA,NA,0.00362550282877382,NA,0.00117522983094344,0,0.00390418446387222,0.000575052780106801,0.00203843634597473,0.000292884975756992,0.000913828886885858,0.0609976479633657,0.000159704729648761,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"bear134",133000,0.00925597133349523,0.0894117517445823,0.0616157439105571,NA,0.450362879214541,0.0202710046617568,0.000654663186404508,0.0307085284009568,NA,0.135626631574801,0.0799232961178879,0.000154190558939101,0.000634235326830084,0.0494105299015949,NA,NA,0.00347174328648312,NA,0.000969397224060341,0,0.00322110081348986,0.000613212637174403,0.00507666870764587,0.000171275062499353,0.000915160947633153,0.057334721984782,0.000197293844804629,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"bear135",134000,0.00822182207686896,0.0832002147024585,0.0600836943839547,NA,0.434343658734747,0.0202401435015561,0.00134027701781879,0.0246601232680004,NA,0.171926890450749,0.0783973684187909,0.000201119128060613,0.000768456141508764,0.0465795093421125,NA,NA,0.00331114402574011,NA,0.000795511974693965,0,0.00240129182522496,0.000770757550892683,0.0100241421721161,0.000104740800902325,0.00107867848955948,0.0512954590520222,0.000254997461074382,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"bear136",135000,0.00797338897313412,0.0743272354623239,0.0537323088640689,NA,0.407698318207862,0.0228728206725576,0.00210992133705867,0.0199521150626842,NA,0.220372924412036,0.079670074988638,0.000248233893458635,0.000825254220314518,0.0411305338576458,NA,NA,0.00366015351475472,NA,0.000754381135972987,0,0.00154146106038919,0.0010132998695927,0.0170930984443304,0.000193992931966205,0.00124710247049971,0.04328429975145,0.000299081454923878,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"bear137",136000,0.00857747964349978,0.061877234535696,0.0446456273583519,NA,0.378506657251061,0.027595463425407,0.00288815602310596,0.0166911901709748,NA,0.27426689715486,0.0822089575411184,0.000202065866167348,0.000835516941255647,0.0333993554228246,NA,NA,0.00419056445407085,NA,0.000877171861913377,0,0.000921960855493797,0.00136632634996679,0.0252890024516392,0.00046384625833461,0.00146850929632363,0.0333463325696,0.000381685170782822,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"bear138",137000,0.00987988162615892,0.049651070561409,0.0338080252191787,NA,0.354914859595796,0.0349233274445706,0.00368208075470654,0.0143258672134208,NA,0.313077991392022,0.0894260806701463,0.000188811244490847,0.000724358217550212,0.0257488895501145,NA,NA,0.00474571286626822,NA,0.00094293609716083,0,0.000568597569954935,0.00185300017681452,0.034278273745519,0.000812075426641799,0.00175377125282625,0.0242129508226587,0.000481439144816539,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"bear139",138000,0.0116130454616512,0.0412372127011641,0.0237730919361052,NA,0.333713726105891,0.0447249423450386,0.0041514115979844,0.0125352396122456,NA,0.335814363845766,0.101903647339524,0.000356480155456317,0.000554896113329159,0.018711845969441,NA,NA,0.00566740383985573,NA,0.000858791597451195,0,0.000377703183993623,0.00235356552457333,0.0404464842582872,0.0012459455903162,0.00183637794207533,0.0175134299680321,0.000610395428707164,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"bear140",139000,0.0136128888719372,0.0359506659618109,0.0155776891044178,NA,0.308397795390481,0.0563000586785772,0.00393288596891789,0.0111961450127152,NA,0.355390575517211,0.112889685666167,0.00058693948911115,0.000375561252109926,0.0130142031628208,NA,NA,0.00709348800318389,NA,0.000808513381545886,0,0.000254558345964755,0.00276184897936107,0.0454299326734347,0.00174448575616257,0.00168549850710951,0.0122954090354947,0.000701171684243495,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"bear141",140000,0.0157363708852552,0.0332683214044325,0.0100689996276275,NA,0.293612256543005,0.0676530298398682,0.00347003733707441,0.010022267715746,NA,0.360596814296308,0.122766062882271,0.000988098580014391,0.000210391843664912,0.00836431288033435,NA,NA,0.00797412469562183,NA,0.000673620065620671,0,0.00023081560054608,0.00318213957136245,0.0478913580474659,0.00217853734985649,0.00162711293288927,0.00872203235658852,0.000763295793540734,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"bear142",141000,0.0168322555799118,0.0342207919940432,0.00717312676751311,NA,0.300515336212248,0.078004421742518,0.00264105198871717,0.00928666906570924,NA,0.338304900077405,0.132971325312512,0.00167900931796264,5.89203788094327e-05,0.00541270744779475,NA,NA,0.00782931550835034,NA,0.000432442907587836,5.62666756284506e-05,0.000343349179173404,0.00332889339381835,0.0479364272669064,0.00283881897171443,0.00191889998898678,0.00741605847673979,0.000799011855361299,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"bear143",142000,0.0161410910450762,0.0377737572077424,0.00741674237476445,NA,0.319285173923925,0.0853325474611017,0.00150502601393581,0.00999585177610788,NA,0.308495233533591,0.139543480788273,0.00244660244634988,0,0.00356216537578455,NA,NA,0.00696971318250624,NA,0.000195653706189683,0.00019128161121236,0.000545690550687354,0.00307470301996708,0.043501243114773,0.00356688510360359,0.00226246578866359,0.00739456917419565,0.000800122790071763,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"bear144",143000,0.013172685577625,0.0404256904755483,0.0084822515621383,NA,0.359122173154203,0.0878156112545256,0.000621291109626408,0.0136522026211273,NA,0.266605249163378,0.140445587851988,0.00242100625978794,0,0.00248559804558989,NA,NA,0.00500657506734234,NA,8.09921060380395e-05,0.000473155769517914,0.000807174020065677,0.00293386255986908,0.0394778194430608,0.00431815412501707,0.00295010428461351,0.00778617434307429,0.000916641183850614,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"bear145",144000,0.00876754825561392,0.0405941753330692,0.0090556422312254,NA,0.425643930534033,0.0817783033656434,0.000573577905790847,0.0166386385269934,NA,0.216947017130568,0.134869419115104,0.00190824367360498,0,0.00256621129497111,NA,NA,0.00225019916270557,NA,0,0.000676461918109468,0.00123251796899926,0.00294049522292288,0.0355936142118519,0.00435746466873418,0.00346219539867687,0.0089839552875637,0.00116038874340365,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"bear146",145000,0.00546223779116515,0.0391865374175379,0.00837914254835021,NA,0.469011243714179,0.0770126139758583,0.000693504091925465,0.0180637283028666,NA,0.185671595159139,0.133433898827742,0.00137938588443577,0,0.00301377452967689,NA,NA,0.00101917828967513,NA,0,0.000779303563135614,0.00153687431760144,0.00313282888823974,0.0333862560427887,0.00449538255859494,0.0034538510016348,0.00954068692581805,0.00134797622506051,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"bear147",146000,0.00356143969007969,0.0385895469325443,0.00728654274263231,NA,0.495830415559628,0.0732278446181141,0.00087806017911908,0.0171032010777321,NA,0.171157713092918,0.130321017579828,0.00100909325982664,0,0.00347708532850101,NA,NA,0.000721752651060938,NA,7.80370303428016e-05,0.000848274887546992,0.00172639559418637,0.00344631575034448,0.0321010870609416,0.00398348402687825,0.00284082209199486,0.0104302686853483,0.00138160216413624,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"bear148",147000,0.00266859817848815,0.0377830733304393,0.00649653268104355,NA,0.517822252939677,0.0700831830002155,0.00092151784396839,0.0155779055825016,NA,0.160756759905748,0.12550607630242,0.000767145358006731,0,0.00388622110248121,NA,NA,0.000662997228713158,NA,0.000155540992421766,0.000845651780472104,0.0018347942560341,0.00380399941255999,0.0320300823454555,0.00347704304391611,0.00225752404901482,0.0112511813245554,0.00141191916135988,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"bear149",148000,0.00257251591517419,0.0378624804238842,0.00625840515457355,NA,0.531258990642812,0.0663299494000126,0.000791753758735083,0.0125244909894461,NA,0.160822570307064,0.117683365384264,0.000862706696075107,0,0.00434707439985171,NA,NA,0.000739406253864189,NA,0.000222165189250326,0.000722500272300952,0.00193748154734939,0.00400226237594119,0.0327066766048149,0.00304593407179865,0.00179702486807871,0.0122755651563586,0.00123668026943666,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"bear150",149000,0.00255248601652789,0.0416601455314545,0.00616316850477511,NA,0.534517131686202,0.0644079718363004,0.000723978691046302,0.0101159763185152,NA,0.159849001211187,0.113969547853678,0.00112452320646196,0,0.00459771562041156,NA,NA,0.000866535285979128,NA,0.000304208062529389,0.000654738954605628,0.00191812951709266,0.00450752073837246,0.0334116367409487,0.00284789116593383,0.0016849038386363,0.0131945124029711,0.000928276431340145,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"bear151",150000,0.00271332651927706,0.0474887914295347,0.00650287416846307,NA,0.529364250117534,0.0626443082201604,0.00070321059267148,0.00836132570392898,NA,0.165955894906605,0.106639361317737,0.00137133277005953,0,0.00477546441913991,NA,NA,0.000920012620786242,NA,0.000392847362777679,0.000592357691910515,0.00184709287270745,0.0049513341705556,0.0355826551106236,0.00240353586689068,0.00166650483136502,0.014503680730617,0.000619838074221864,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"carp1",0,0.0193976936998866,0.00614843336769083,NA,0.0260692472478372,0.0109581635611423,0.00581944216072825,0.00235344474699458,0.0123685220643307,NA,0.601182278289521,0.0562545316091688,NA,0.0770358899247603,0.0461653242527084,0.000290642446181619,NA,0.000290642446181619,NA,NA,0,NA,0,0.00668679652883548,NA,0.00178899674283387,NA,0,0.0375286467157329,0.00312207417945115,0,0.00316138725939469,0.0192931055939029,0.000238903872633678,0,0.000534552080757872,0.00202632789171642,0.0593941144954871,0.00189083787510401,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"carp2",1000,0.0166387361681071,0.00535059527734205,NA,0.0325257902530376,0.0103241289638249,0.0064855214547816,0.0022749605258955,0.0108696487316251,NA,0.626686753555176,0.0553199659744753,NA,0.06835900139137,0.0403686926357909,0.000313167563651483,NA,0.000313167563651483,NA,NA,0,NA,0,0.00627425374264925,NA,0.00139281458501328,NA,0,0.0370332517681009,0.00297028919688419,0,0.00243842064343174,0.0168233082552339,0.000267370612340207,0,0.000344876182313076,0.00129229239985166,0.0538051773247923,0.00152781433092935,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"carp3",2000,0.0143535173265636,0.00481256598182723,NA,0.0391672520020669,0.0105943249462697,0.00714556487679667,0.00215855983200069,0.00992530829591699,NA,0.646871920682946,0.0520456502609642,NA,0.0593716304940417,0.0370602413209667,0.000334012515369927,NA,0.000367030865575617,NA,NA,0,NA,0,0.00570496638889119,NA,0.00136993463209939,NA,0,0.0382026356931646,0.00298240544267813,0,0.00216748252989598,0.0152950183613584,0.000300149861170432,0,0.000224945240765349,0.000826204313137269,0.0474258280041926,0.00129284930644604,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"carp4",3000,0.0125769839211315,0.00431772937561283,NA,0.0462700120634874,0.0110680171982024,0.00769748638824695,0.00198049575983826,0.00957114716460717,NA,0.667631318087714,0.0455680155598447,NA,0.0495057376039884,0.0355860764547105,0.000247941080635109,NA,0.000359306317196351,NA,NA,0,NA,0,0.00500796854720979,NA,0.0016578006342491,NA,0,0.0393339063597264,0.00307547505845881,0,0.00197675935362973,0.0140609078302936,0.000260984887715008,0,0.000135890150682513,0.000478105176747118,0.0405565861507227,0.00107534826005106,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
