"site","Region","long","lat","MIS_2-1","MIS_3-2","MIS_4-3","MIS_5a-4","MIS_5b-5a","MIS_5c-5b","MIS_5d-5c","MIS_5e-5d","MIS_6-5e"
"Annie",4,-81.350875,27.20731,-1.87592784867197,-1.09138775645536,1.680009178605,NA,NA,NA,NA,NA,NA
"Baldwin",5,-116.806408,34.276446,0.155855699075214,0.724207944049756,0,-0.458013648366083,-0.170507490783347,0.171441854108945,0,-0.251384818455738,-0.266526326403428
"Bear",5,-111.333,41.98435,0.155855699075214,0.724207944049756,0,-0.458013648366083,-0.170507490783347,0.171441854108945,0,-0.251384818455738,-0.266526326403428
"Carp",5,-120.880556,45.918056,0.155855699075214,0.724207944049756,0,-0.458013648366083,-0.170507490783347,0.171441854108945,0,-0.251384818455738,-0.266526326403428
"Cranberry Glades",2,-80.283333,38.2,2.53827456486366,1.54516253350869,0,-1.55207135488301,-2.92709949495519,0,NA,NA,NA
"Cuatro Cienegas",6,-102,26,0.668219609428794,-0.740333436638561,1.11620390088295,-1.2195203065466,0.207511739581185,0,NA,NA,NA
"Dark",2,-91.475,45.275,2.53827456486366,1.54516253350869,0,-1.55207135488301,-2.92709949495519,0,NA,NA,NA
"Fargher",3,-122.51919,45.886765,-1.52398255679325,-2.06609223964157,-1.85884549471833,0.272202939582767,NA,NA,NA,NA,NA
"Fog",1,-63.24945,67.182375,-0.337017941785402,-0.499423246519707,-0.674527665491646,-0.434867431089581,-0.339771755070084,NA,NA,NA,NA
"Goshen Springs",4,-86.134167,31.721111,-1.87592784867197,-1.09138775645536,1.680009178605,NA,NA,NA,NA,NA,NA
"Grass",3,-122.16715,41.6496,-1.52398255679325,-2.06609223964157,-1.85884549471833,0.272202939582767,NA,NA,NA,NA,NA
"Grays",5,-111.43795,43.06619,0.155855699075214,0.724207944049756,0,-0.458013648366083,-0.170507490783347,0.171441854108945,0,-0.251384818455738,-0.266526326403428
"Hanging",1,-138.3833333,68.383333,-0.337017941785402,-0.499423246519707,-0.674527665491646,-0.434867431089581,-0.339771755070084,NA,NA,NA,NA
"Hansen Marsh",2,-89.670815,43.439585,2.53827456486366,1.54516253350869,0,-1.55207135488301,-2.92709949495519,0,NA,NA,NA
"Hay",5,-109.425,34,0.155855699075214,0.724207944049756,0,-0.458013648366083,-0.170507490783347,0.171441854108945,0,-0.251384818455738,-0.266526326403428
"Joe",1,-157.216667,66.766667,-0.337017941785402,-0.499423246519707,-0.674527665491646,-0.434867431089581,-0.339771755070084,NA,NA,NA,NA
"Kalaloch",3,-124.382994,47.634197,-1.52398255679325,-2.06609223964157,-1.85884549471833,0.272202939582767,NA,NA,NA,NA,NA
"Kilbride Swamp",2,-79.915417,43.464583,2.53827456486366,1.54516253350869,0,-1.55207135488301,-2.92709949495519,0,NA,NA,NA
"Last Canyon",5,-108.394757,45.095634,0.155855699075214,0.724207944049756,0,-0.458013648366083,-0.170507490783347,0.171441854108945,0,-0.251384818455738,-0.266526326403428
"Little",3,-123.583975,44.16658,-1.52398255679325,-2.06609223964157,-1.85884549471833,0.272202939582767,NA,NA,NA,NA,NA
"Natural Trap",5,-108.1930018,44.973344,0.155855699075214,0.724207944049756,0,-0.458013648366083,-0.170507490783347,0.171441854108945,0,-0.251384818455738,-0.266526326403428
"Patzcuaro",6,-101.583333,19.583333,0.668219609428794,-0.740333436638561,1.11620390088295,-1.2195203065466,0.207511739581185,0,NA,NA,NA
"Peten-Itza",7,-89.84187,16.96397,5.17515357064753,1.9524025886453,0.76846603809039,-2.50103298608388,-2.73180453077831,-2.11905827222384,NA,NA,NA
"Ruby Marsh",5,-115.5049,41.13395,0.155855699075214,0.724207944049756,0,-0.458013648366083,-0.170507490783347,0.171441854108945,0,-0.251384818455738,-0.266526326403428
"Star Meadows",5,-114.683705,46.51655,0.155855699075214,0.724207944049756,0,-0.458013648366083,-0.170507490783347,0.171441854108945,0,-0.251384818455738,-0.266526326403428
"Tehuantepec",6,-95.292,15.7133,0.668219609428794,-0.740333436638561,1.11620390088295,-1.2195203065466,0.207511739581185,0,NA,NA,NA
"Titaluk",1,-155.211533,69.710983,-0.337017941785402,-0.499423246519707,-0.674527665491646,-0.434867431089581,-0.339771755070084,NA,NA,NA,NA
"Tulane1",4,-81.503395,27.58613,-1.87592784867197,-1.09138775645536,1.680009178605,NA,NA,NA,NA,NA,NA
"Zagoskin",1,-162.10838,63.44847,-0.337017941785402,-0.499423246519707,-0.674527665491646,-0.434867431089581,-0.339771755070084,NA,NA,NA,NA
