"site","Region","long","lat","MIS_2-1","MIS_3-2","MIS_4-3","MIS_5a-4","MIS_5b-5a","MIS_5c-5b","MIS_5d-5c","MIS_5e-5d","MIS_6-5e"
"Annie",4,-81.350875,27.20731,-1.03818756126997,-1.23544507842271,1.37685555519346,NA,NA,NA,NA,NA,NA
"Baldwin",5,-116.806408,34.276446,0.611236378752359,0.103070857641421,-0.468764218603121,-0.242427877092716,-0.0581584562559252,0.0406131000042729,-0.196165998344313,0,0.505544837142843
"Bear",5,-111.333,41.98435,0.611236378752359,0.103070857641421,-0.468764218603121,-0.242427877092716,-0.0581584562559252,0.0406131000042729,-0.196165998344313,0,0.505544837142843
"Carp",5,-120.880556,45.918056,0.611236378752359,0.103070857641421,-0.468764218603121,-0.242427877092716,-0.0581584562559252,0.0406131000042729,-0.196165998344313,0,0.505544837142843
"Cranberry Glades",2,-80.283333,38.2,1.43692220803569,0.573283484899185,-0.989479097238506,-0.967809090124693,-1.09166281438506,0,NA,NA,NA
"Cuatro Cienegas",6,-102,26,0.34336211066127,0,0.965009938740395,-0.564242134557404,0,0,NA,NA,NA
"Dark",2,-91.475,45.275,1.43692220803569,0.573283484899185,-0.989479097238506,-0.967809090124693,-1.09166281438506,0,NA,NA,NA
"Fargher",3,-122.51919,45.886765,-0.334396219360984,-1.39062348929826,-1.3040414983696,0.131915327195802,NA,NA,NA,NA,NA
"Fog",1,-63.24945,67.182375,-0.64319018691105,0,0,-0.69003978484227,-0.644226136359936,NA,NA,NA,NA
"Goshen Springs",4,-86.134167,31.721111,-1.03818756126997,-1.23544507842271,1.37685555519346,NA,NA,NA,NA,NA,NA
"Grass",3,-122.16715,41.6496,-0.334396219360984,-1.39062348929826,-1.3040414983696,0.131915327195802,NA,NA,NA,NA,NA
"Grays",5,-111.43795,43.06619,0.611236378752359,0.103070857641421,-0.468764218603121,-0.242427877092716,-0.0581584562559252,0.0406131000042729,-0.196165998344313,0,0.505544837142843
"Hanging",1,-138.3833333,68.383333,-0.64319018691105,0,0,-0.69003978484227,-0.644226136359936,NA,NA,NA,NA
"Hansen Marsh",2,-89.670815,43.439585,1.43692220803569,0.573283484899185,-0.989479097238506,-0.967809090124693,-1.09166281438506,0,NA,NA,NA
"Hay",5,-109.425,34,0.611236378752359,0.103070857641421,-0.468764218603121,-0.242427877092716,-0.0581584562559252,0.0406131000042729,-0.196165998344313,0,0.505544837142843
"Joe",1,-157.216667,66.766667,-0.64319018691105,0,0,-0.69003978484227,-0.644226136359936,NA,NA,NA,NA
"Kalaloch",3,-124.382994,47.634197,-0.334396219360984,-1.39062348929826,-1.3040414983696,0.131915327195802,NA,NA,NA,NA,NA
"Kilbride Swamp",2,-79.915417,43.464583,1.43692220803569,0.573283484899185,-0.989479097238506,-0.967809090124693,-1.09166281438506,0,NA,NA,NA
"Last Canyon",5,-108.394757,45.095634,0.611236378752359,0.103070857641421,-0.468764218603121,-0.242427877092716,-0.0581584562559252,0.0406131000042729,-0.196165998344313,0,0.505544837142843
"Little",3,-123.583975,44.16658,-0.334396219360984,-1.39062348929826,-1.3040414983696,0.131915327195802,NA,NA,NA,NA,NA
"Natural Trap",5,-108.1930018,44.973344,0.611236378752359,0.103070857641421,-0.468764218603121,-0.242427877092716,-0.0581584562559252,0.0406131000042729,-0.196165998344313,0,0.505544837142843
"Patzcuaro",6,-101.583333,19.583333,0.34336211066127,0,0.965009938740395,-0.564242134557404,0,0,NA,NA,NA
"Peten-Itza",7,-89.84187,16.96397,3.43818371789883,1.00044709958527,0,-1.35411787458692,-1.61777749043715,-1.47934355339055,NA,NA,NA
"Ruby Marsh",5,-115.5049,41.13395,0.611236378752359,0.103070857641421,-0.468764218603121,-0.242427877092716,-0.0581584562559252,0.0406131000042729,-0.196165998344313,0,0.505544837142843
"Star Meadows",5,-114.683705,46.51655,0.611236378752359,0.103070857641421,-0.468764218603121,-0.242427877092716,-0.0581584562559252,0.0406131000042729,-0.196165998344313,0,0.505544837142843
"Tehuantepec",6,-95.292,15.7133,0.34336211066127,0,0.965009938740395,-0.564242134557404,0,0,NA,NA,NA
"Titaluk",1,-155.211533,69.710983,-0.64319018691105,0,0,-0.69003978484227,-0.644226136359936,NA,NA,NA,NA
"Tulane1",4,-81.503395,27.58613,-1.03818756126997,-1.23544507842271,1.37685555519346,NA,NA,NA,NA,NA,NA
"Zagoskin",1,-162.10838,63.44847,-0.64319018691105,0,0,-0.69003978484227,-0.644226136359936,NA,NA,NA,NA
